identifier1	identifier2	annotator	judgment	comment	lemma
подстава-0	подстава-1	annotator1	3		подстава
подстава-0	подстава-1	annotator2	4		подстава
подстава-0	подстава-1	annotator3	4		подстава
подстава-0	подстава-1	annotator4	4		подстава
подстава-0	подстава-1	annotator5	4		подстава
подстава-2	подстава-3	annotator1	1		подстава
подстава-2	подстава-3	annotator2	2		подстава
подстава-2	подстава-3	annotator3	3		подстава
подстава-2	подстава-3	annotator4	3		подстава
подстава-2	подстава-3	annotator5	1		подстава
подстава-4	подстава-5	annotator1	1		подстава
подстава-4	подстава-5	annotator2	1		подстава
подстава-4	подстава-5	annotator3	1		подстава
подстава-4	подстава-5	annotator4	1		подстава
подстава-4	подстава-5	annotator5	1		подстава
подстава-6	подстава-7	annotator1	1		подстава
подстава-6	подстава-7	annotator2	1		подстава
подстава-6	подстава-7	annotator3	1		подстава
подстава-6	подстава-7	annotator4	1		подстава
подстава-6	подстава-7	annotator5	1		подстава
подстава-8	подстава-9	annotator1	4		подстава
подстава-8	подстава-9	annotator2	3		подстава
подстава-8	подстава-9	annotator3	4		подстава
подстава-8	подстава-9	annotator4	1		подстава
подстава-8	подстава-9	annotator5	1		подстава
подстава-10	подстава-11	annotator1	4		подстава
подстава-10	подстава-11	annotator2	4		подстава
подстава-10	подстава-11	annotator3	4		подстава
подстава-10	подстава-11	annotator4	4		подстава
подстава-10	подстава-11	annotator5	4		подстава
подстава-12	подстава-13	annotator1	1		подстава
подстава-12	подстава-13	annotator2	1		подстава
подстава-12	подстава-13	annotator3	1		подстава
подстава-12	подстава-13	annotator4	1		подстава
подстава-12	подстава-13	annotator5	1		подстава
подстава-14	подстава-15	annotator1	3		подстава
подстава-14	подстава-15	annotator2	2		подстава
подстава-14	подстава-15	annotator3	3		подстава
подстава-14	подстава-15	annotator4	3		подстава
подстава-14	подстава-15	annotator5	2		подстава
подстава-16	подстава-17	annotator1	4		подстава
подстава-16	подстава-17	annotator2	0		подстава
подстава-16	подстава-17	annotator3	4		подстава
подстава-16	подстава-17	annotator4	4		подстава
подстава-16	подстава-17	annotator5	4		подстава
