lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
подстава	NOUN	1991-2017	2	подстава-0		-- Верещагин меня видел, он никогда не купится на подставу.	50:58	0:59
подстава	NOUN	1991-2017	2	подстава-1		В этих условиях интрига, провокация, возбуждение уголовных дел по весьма шатким основаниям, "подставы" становятся универсальным средством реализации интересов тех или иных политических игроков.	93:101	0:193
подстава	NOUN	1991-2017	2	подстава-2		-- Или хороший парень, или подстава, -- отозвалась хрипло Елена, закуривая.	27:35	0:75
подстава	NOUN	1991-2017	2	подстава-3		Однако для успешного применения этого вида "подстав" необходимы очень хорошие социологические проработки.	44:51	0:105
подстава	NOUN	1918-1990	1	подстава-4		Подстава была организована блестяще!	0:8	0:36
подстава	NOUN	1991-2017	2	подстава-5		На подставах свежие лошади являлись во мгновение ока, стоило лишь гербовому документу возникнуть в руке Тимофея Катакази.	3:12	0:121
подстава	NOUN	1918-1990	1	подстава-6		Все то время, пока Егор помогал ребятам убирать труп Михалыча, пока они закапывали его возле стены дачи, в глухих кустах, настилали сверху дерн, даже кустики кое-какие пересадили, чтобы все выглядело пристойно, Олег пытался понять, как же это Настя умудрилась подставить старику таких ребят и как же он не просек этой подставы.	260:270	0:327
подстава	NOUN	1991-2017	2	подстава-7		И уже на другой день полетели по вологодскому тракту конные подставы и урядники с грамотами к воеводам.	60:68	0:103
подстава	NOUN	1918-1990	1	подстава-8		Коль родился кто, скажем, на почтовом тракте, тому и путь ясен: версты отмерены, подставы на всех перегонах и колокольчик под дугой аж с колыбельки -- чего же ему гордым не быть, такому-то счастливчику, а, мсье Олексин Только немного таких, а главное количество в пустыне рождается, и все у них как в сказке сказано: направо пойдешь -- побитым быть, налево пойдешь -- забритым быть, а прямо пойдешь -- туза на спину нашьешь.	81:89	0:424
подстава	NOUN	1918-1990	1	подстава-9		Носила раненых на вторую подставу, ползала, таскала раненых на шинели, на лодке-волокуше.	25:33	0:89
подстава	NOUN	1918-1990	1	подстава-10		Накануне в слободу Каменку выслана была подстава.	40:48	0:49
подстава	NOUN	1918-1990	1	подстава-11		До Днепра огромный поезд царицы двигался на перекладных: на каждой станции его ожидала подстава из нескольких сотен лошадей.	87:95	0:124
подстава	NOUN	1918-1990	1	подстава-12		Оно и понятно: ведь тебе реально интересно, что там у Карауловой с Масюковым (любоfff или очередная подстава), с какими потерями выжили "последние герои", как кадрит девчонок Иракли и почему у Эма от баблосов пухнут карманы.	100:108	0:224
подстава	NOUN	1991-2017	2	подстава-13		Державин, под началом двух офицеров, братьев Лутовиновых, командирован был на ямскую подставу -- надзирать за приготовлением лошадей к проезду двора.	85:93	0:149
подстава	NOUN	1991-2017	2	подстава-14		Основное предназначение "подставы-скандалиста" -- вовлечь "заказанного" кандидата в серию скандальных перепалок или судебных процессов.	-1:18	0:135
подстава	NOUN	1991-2017	2	подстава-15		И ведь расстрелянных таким образом, после таких подстав, было полно.	48:55	0:68
подстава	NOUN	1918-1990	1	подстава-16		Свату вернули "подставу", и на Рыжике отправились в Колпашево.	15:23	0:62
подстава	NOUN	1918-1990	1	подстава-17		Стоит ли удивляться теперь, что сказочные листики могли превращаться даже в лошадей Причем безотказно, на каждом почтовом дворе (новшество, введенное Киром), где постоянно ожидали гонцов подставы.	187:195	0:196
