lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
предощущение	NOUN	1918-1990	1	предощущение-0		Бывает предощущение того, что вот сейчас придет музыка.	7:19	0:55
предощущение	NOUN	1991-2017	2	предощущение-1		Но это не потому что благодаря своему отказу от сомнений и колебаний они вышли на широкую дорогу жизни, а просто потому что потеряли вместе с боязливой чуткостью и предощущение конца и часто сами до последнего мига не знают, как, куда и когда упадут.	164:176	0:250
предощущение	NOUN	1918-1990	1	предощущение-2		Было и впрямь, как тогда, предощущение противной сладости на губах, сползающих с носа и подбородка липких сгустков.	26:38	0:115
предощущение	NOUN	1991-2017	2	предощущение-3		Святой патриарх видит как бы совершившимися скорбные события, которые грядут на Церковь в ее новом испытании, иконоборческой ереси; предупреждает, умоляет об искоренении пагубного мнения, принятого императором-иконоборцем, говорит о последствиях этого неправого учения, видя их как бы воочию, и в этом состоянии постоянного предощущения грядущих бед возглавляет патриарший престол.	324:336	0:381
предощущение	NOUN	1991-2017	2	предощущение-4		В "Добром человеке из Сычуани", поставленном на заре распада СССР, еще царило предощущение счастья.	78:90	0:99
предощущение	NOUN	1991-2017	2	предощущение-5		Собственно, предощущение временности, преходящести закона, его служебности -- лишь до Христа -- срастворено Ветхому Завету.	12:24	0:123
предощущение	NOUN	1918-1990	1	предощущение-6		Во всем-то он был прав: в предощущении конца, в ненависти к России, которая, верно, мыслилась ему курной избой или, паче того, огромной квашней, в которой вечно что-то преет, бродит, кряхтит, но одного Ять не мог принять в нем -- злорадства; оно-то и было решающей частностью, каплей, переполняющей чашу.	26:38	0:304
предощущение	NOUN	1991-2017	2	предощущение-7		Это универсальное равнодушие и предощущение небытия приводит "смешного человека" к мысли о самоубийстве.	31:43	0:104
предощущение	NOUN	1991-2017	2	предощущение-8		Ехал в Тулу с тяжелым предощущением.	22:35	0:36
предощущение	NOUN	1991-2017	2	предощущение-9		Я люблю этот предсмертный миг, это очарование, этот ужас, это предощущение гибели и настоящее видение Истины, с которой сдернуты все покрывала, все атрибуты, все феномены, вся мишура.	62:74	0:183
предощущение	NOUN	1918-1990	1	предощущение-10		Журкина опьяняло предощущение торжества.	17:29	0:40
предощущение	NOUN	1918-1990	1	предощущение-11		Сорок четвертый год -- радостный год предощущения победы.	37:49	0:57
предощущение	NOUN	1991-2017	2	предощущение-12		Здесь есть луна, здесь царствуют влюбленные и птицы, здесь совершаются преступления, здесь насилуют прекрасных женщин, погружая их невероятные тела в мрачную грязь, здесь ходят глупые чудесные мечтатели, желающие повеситься от восторга этой жизни, здесь вы все знаете; сюда мы приближаем нашу лиловую жидкость, нашу заготовку глюцилина; вы видите, как воробьи немедленно летят сюда, на блеск, на предощущение будущего глюцилина, вы сейчас увидите их последний, триумфальный полет -- чу, я слышу шелест их крыльев! -- они словно камикадзе, готовые отдать свою порхающую жизнь за нас, за наши удовольствия.	396:408	0:604
