identifier1	identifier2	annotator	judgment	comment	lemma
приношение-0	приношение-1	annotator1	4		приношение
приношение-0	приношение-1	annotator2	4		приношение
приношение-0	приношение-1	annotator3	1		приношение
приношение-0	приношение-1	annotator4	1		приношение
приношение-0	приношение-1	annotator5	3		приношение
приношение-2	приношение-3	annotator1	4		приношение
приношение-2	приношение-3	annotator2	4		приношение
приношение-2	приношение-3	annotator3	4		приношение
приношение-2	приношение-3	annotator4	4		приношение
приношение-2	приношение-3	annotator5	4		приношение
приношение-4	приношение-5	annotator1	1		приношение
приношение-4	приношение-5	annotator2	1		приношение
приношение-4	приношение-5	annotator3	1		приношение
приношение-4	приношение-5	annotator4	1		приношение
приношение-4	приношение-5	annotator5	4		приношение
приношение-6	приношение-7	annotator1	3		приношение
приношение-6	приношение-7	annotator2	1		приношение
приношение-6	приношение-7	annotator3	3		приношение
приношение-6	приношение-7	annotator4	2		приношение
приношение-6	приношение-7	annotator5	2		приношение
приношение-8	приношение-9	annotator1	4		приношение
приношение-8	приношение-9	annotator2	4		приношение
приношение-8	приношение-9	annotator3	3		приношение
приношение-8	приношение-9	annotator4	2		приношение
приношение-8	приношение-9	annotator5	4		приношение
приношение-10	приношение-11	annotator1	1		приношение
приношение-10	приношение-11	annotator2	3		приношение
приношение-10	приношение-11	annotator3	4		приношение
приношение-10	приношение-11	annotator4	4		приношение
приношение-10	приношение-11	annotator5	2		приношение
приношение-12	приношение-13	annotator1	2		приношение
приношение-12	приношение-13	annotator2	4		приношение
приношение-12	приношение-13	annotator3	1		приношение
приношение-12	приношение-13	annotator4	2		приношение
приношение-12	приношение-13	annotator5	3		приношение
приношение-14	приношение-15	annotator1	3		приношение
приношение-14	приношение-15	annotator2	4		приношение
приношение-14	приношение-15	annotator3	4		приношение
приношение-14	приношение-15	annotator4	3		приношение
приношение-14	приношение-15	annotator5	4		приношение
приношение-16	приношение-17	annotator1	4		приношение
приношение-16	приношение-17	annotator2	3		приношение
приношение-16	приношение-17	annotator3	4		приношение
приношение-16	приношение-17	annotator4	4		приношение
приношение-16	приношение-17	annotator5	3		приношение
приношение-18	приношение-19	annotator1	4		приношение
приношение-18	приношение-19	annotator2	3		приношение
приношение-18	приношение-19	annotator3	4		приношение
приношение-18	приношение-19	annotator4	4		приношение
приношение-18	приношение-19	annotator5	4		приношение
приношение-20	приношение-21	annotator1	4		приношение
приношение-20	приношение-21	annotator2	3		приношение
приношение-20	приношение-21	annotator3	4		приношение
приношение-20	приношение-21	annotator4	1		приношение
приношение-20	приношение-21	annotator5	2		приношение
приношение-22	приношение-23	annotator1	4		приношение
приношение-22	приношение-23	annotator2	3		приношение
приношение-22	приношение-23	annotator3	4		приношение
приношение-22	приношение-23	annotator4	3		приношение
приношение-22	приношение-23	annotator5	4		приношение
приношение-24	приношение-25	annotator1	3		приношение
приношение-24	приношение-25	annotator2	4		приношение
приношение-24	приношение-25	annotator3	4		приношение
приношение-24	приношение-25	annotator4	3		приношение
приношение-24	приношение-25	annotator5	4		приношение
приношение-26	приношение-27	annotator1	2		приношение
приношение-26	приношение-27	annotator2	1		приношение
приношение-26	приношение-27	annotator3	4		приношение
приношение-26	приношение-27	annotator4	4		приношение
приношение-26	приношение-27	annotator5	3		приношение
приношение-28	приношение-29	annotator1	1		приношение
приношение-28	приношение-29	annotator2	1		приношение
приношение-28	приношение-29	annotator3	1		приношение
приношение-28	приношение-29	annotator4	1		приношение
приношение-28	приношение-29	annotator5	1		приношение
приношение-30	приношение-31	annotator1	1		приношение
приношение-30	приношение-31	annotator2	2		приношение
приношение-30	приношение-31	annotator3	3		приношение
приношение-30	приношение-31	annotator4	4		приношение
приношение-30	приношение-31	annotator5	1		приношение
приношение-32	приношение-33	annotator1	4		приношение
приношение-32	приношение-33	annotator2	1		приношение
приношение-32	приношение-33	annotator3	1		приношение
приношение-32	приношение-33	annotator4	1		приношение
приношение-32	приношение-33	annotator5	2		приношение
приношение-34	приношение-35	annotator1	4		приношение
приношение-34	приношение-35	annotator2	3		приношение
приношение-34	приношение-35	annotator3	4		приношение
приношение-34	приношение-35	annotator4	4		приношение
приношение-34	приношение-35	annotator5	1		приношение
приношение-36	приношение-37	annotator1	1		приношение
приношение-36	приношение-37	annotator2	4		приношение
приношение-36	приношение-37	annotator3	4		приношение
приношение-36	приношение-37	annotator4	4		приношение
приношение-36	приношение-37	annotator5	4		приношение
приношение-38	приношение-39	annotator1	4		приношение
приношение-38	приношение-39	annotator2	4		приношение
приношение-38	приношение-39	annotator3	4		приношение
приношение-38	приношение-39	annotator4	3		приношение
приношение-38	приношение-39	annotator5	2		приношение
приношение-40	приношение-41	annotator1	3		приношение
приношение-40	приношение-41	annotator2	3		приношение
приношение-40	приношение-41	annotator3	1		приношение
приношение-40	приношение-41	annotator4	2		приношение
приношение-40	приношение-41	annotator5	4		приношение
приношение-42	приношение-43	annotator1	1		приношение
приношение-42	приношение-43	annotator2	1		приношение
приношение-42	приношение-43	annotator3	3		приношение
приношение-42	приношение-43	annotator4	2		приношение
приношение-42	приношение-43	annotator5	2		приношение
приношение-44	приношение-45	annotator1	4		приношение
приношение-44	приношение-45	annotator2	2		приношение
приношение-44	приношение-45	annotator3	4		приношение
приношение-44	приношение-45	annotator4	4		приношение
приношение-44	приношение-45	annotator5	3		приношение
приношение-46	приношение-47	annotator1	2		приношение
приношение-46	приношение-47	annotator2	2		приношение
приношение-46	приношение-47	annotator3	1		приношение
приношение-46	приношение-47	annotator4	3		приношение
приношение-46	приношение-47	annotator5	3		приношение
приношение-48	приношение-49	annotator1	4		приношение
приношение-48	приношение-49	annotator2	1		приношение
приношение-48	приношение-49	annotator3	3		приношение
приношение-48	приношение-49	annotator4	3		приношение
приношение-48	приношение-49	annotator5	1		приношение
приношение-50	приношение-51	annotator1	4		приношение
приношение-50	приношение-51	annotator2	4		приношение
приношение-50	приношение-51	annotator3	4		приношение
приношение-50	приношение-51	annotator4	4		приношение
приношение-50	приношение-51	annotator5	4		приношение
приношение-52	приношение-53	annotator1	4		приношение
приношение-52	приношение-53	annotator2	4		приношение
приношение-52	приношение-53	annotator3	2		приношение
приношение-52	приношение-53	annotator4	4		приношение
приношение-52	приношение-53	annotator5	4		приношение
приношение-54	приношение-55	annotator1	2		приношение
приношение-54	приношение-55	annotator2	1		приношение
приношение-54	приношение-55	annotator3	4		приношение
приношение-54	приношение-55	annotator4	2		приношение
приношение-54	приношение-55	annotator5	1		приношение
приношение-56	приношение-57	annotator1	3		приношение
приношение-56	приношение-57	annotator2	1		приношение
приношение-56	приношение-57	annotator3	3		приношение
приношение-56	приношение-57	annotator4	3		приношение
приношение-56	приношение-57	annotator5	4		приношение
приношение-58	приношение-59	annotator1	3		приношение
приношение-58	приношение-59	annotator2	1		приношение
приношение-58	приношение-59	annotator3	4		приношение
приношение-58	приношение-59	annotator4	3		приношение
приношение-58	приношение-59	annotator5	4		приношение
приношение-60	приношение-61	annotator1	2		приношение
приношение-60	приношение-61	annotator2	1		приношение
приношение-60	приношение-61	annotator3	4		приношение
приношение-60	приношение-61	annotator4	2		приношение
приношение-60	приношение-61	annotator5	3		приношение
приношение-62	приношение-63	annotator1	4		приношение
приношение-62	приношение-63	annotator2	4		приношение
приношение-62	приношение-63	annotator3	4		приношение
приношение-62	приношение-63	annotator4	4		приношение
приношение-62	приношение-63	annotator5	4		приношение
приношение-64	приношение-65	annotator1	2		приношение
приношение-64	приношение-65	annotator2	1		приношение
приношение-64	приношение-65	annotator3	3		приношение
приношение-64	приношение-65	annotator4	1		приношение
приношение-64	приношение-65	annotator5	4		приношение
приношение-66	приношение-67	annotator1	4		приношение
приношение-66	приношение-67	annotator2	2		приношение
приношение-66	приношение-67	annotator3	3		приношение
приношение-66	приношение-67	annotator4	4		приношение
приношение-66	приношение-67	annotator5	3		приношение
приношение-68	приношение-69	annotator1	4		приношение
приношение-68	приношение-69	annotator2	4		приношение
приношение-68	приношение-69	annotator3	4		приношение
приношение-68	приношение-69	annotator4	4		приношение
