lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
приношение	NOUN	1991-2017	2	приношение-0		"ПРИНОШЕНИЕ САНКТ-ПЕТЕРБУРГУ".	0:0	0:30
приношение	NOUN	1991-2017	2	приношение-1		И точно -- в разгар парада приношений прибежал, запыхавшись, Коля Соловцов, а следом за ним и небольшая компания во главе с Игорем и Верой Головиными.	27:37	0:150
приношение	NOUN	1918-1990	1	приношение-2		-- И туманно, чтоб не обидеть гостя из дружественной державы, намекнул на опасный опыт троянских коней и данайских приношений.	115:125	0:126
приношение	NOUN	1918-1990	1	приношение-3		С тех пор орочи, удэхе и гольды, когда проходят мимо скал, останавливаются и кладут на камни свои приношения: лоскутки материи, кусочки сахару, листочки табаку или выливают несколько капель водки и просят послать им удачную охоту и счастливое окончание пути.	98:108	0:258
приношение	NOUN	1991-2017	2	приношение-4		Приношение большей части золотого запаса страны в дар Будде не только очень характерно для Мьянмы, но и искренне.	0:10	0:113
приношение	NOUN	1991-2017	2	приношение-5		Едва ли можно было избрать для музыкального приношения учителю, находящемуся в зале среди слушателей, сочинение более подходящее, нежели Виолончельная соната Дмитрия Шостаковича -- произведение великого композитора, классика музыки XX века, еще, казалось бы, совсем недавно нашего старшего современника.	44:54	0:303
приношение	NOUN	1918-1990	1	приношение-6		Приношение пардуса в Москов Герой чуть не пропустил день рождения Москвы.	0:10	0:73
приношение	NOUN	1991-2017	2	приношение-7		Другие оруженосцы и служители принесли мечи прославленной франкской работы, куски шелка, серебряные сосуды, без которых не обходилось ни одно приношение даров.	142:152	0:159
приношение	NOUN	1918-1990	1	приношение-8		Приношения солнцу.	0:10	0:18
приношение	NOUN	1991-2017	2	приношение-9		Инок не ел хлеба, не питался просфорами, как это делали многие монахи, а действительно отличался воздержанием среди других печерских иноков, не отказывавшихся обычно от обильных боярских приношений.	187:197	0:198
приношение	NOUN	1918-1990	1	приношение-10		А поскольку окрестные крестьяне зажиточны, на храмовых праздниках в Швемодо нет недостатка в щедрых приношениях.	100:111	0:112
