identifier1	identifier2	annotator	judgment	comment	lemma
прислуга-0	прислуга-1	annotator1	4		прислуга
прислуга-0	прислуга-1	annotator2	4		прислуга
прислуга-0	прислуга-1	annotator3	4		прислуга
прислуга-0	прислуга-1	annotator4	1		прислуга
прислуга-0	прислуга-1	annotator5	3		прислуга
прислуга-2	прислуга-3	annotator1	4		прислуга
прислуга-2	прислуга-3	annotator2	4		прислуга
прислуга-2	прислуга-3	annotator3	4		прислуга
прислуга-2	прислуга-3	annotator4	4		прислуга
прислуга-2	прислуга-3	annotator5	4		прислуга
прислуга-4	прислуга-5	annotator1	4		прислуга
прислуга-4	прислуга-5	annotator2	4		прислуга
прислуга-4	прислуга-5	annotator3	3		прислуга
прислуга-4	прислуга-5	annotator4	4		прислуга
прислуга-4	прислуга-5	annotator5	4		прислуга
прислуга-6	прислуга-7	annotator1	3		прислуга
прислуга-6	прислуга-7	annotator2	4		прислуга
прислуга-6	прислуга-7	annotator3	4		прислуга
прислуга-6	прислуга-7	annotator4	4		прислуга
прислуга-6	прислуга-7	annotator5	4		прислуга
прислуга-8	прислуга-9	annotator1	4		прислуга
прислуга-8	прислуга-9	annotator2	4		прислуга
прислуга-8	прислуга-9	annotator3	4		прислуга
прислуга-8	прислуга-9	annotator4	4		прислуга
прислуга-8	прислуга-9	annotator5	3		прислуга
прислуга-10	прислуга-11	annotator1	4		прислуга
прислуга-10	прислуга-11	annotator2	4		прислуга
прислуга-10	прислуга-11	annotator3	3		прислуга
прислуга-10	прислуга-11	annotator4	4		прислуга
прислуга-10	прислуга-11	annotator5	4		прислуга
прислуга-12	прислуга-13	annotator1	1		прислуга
прислуга-12	прислуга-13	annotator2	2		прислуга
прислуга-12	прислуга-13	annotator3	2		прислуга
прислуга-12	прислуга-13	annotator4	4		прислуга
прислуга-12	прислуга-13	annotator5	1		прислуга
прислуга-14	прислуга-15	annotator1	4		прислуга
прислуга-14	прислуга-15	annotator2	4		прислуга
прислуга-14	прислуга-15	annotator3	4		прислуга
прислуга-14	прислуга-15	annotator4	4		прислуга
прислуга-14	прислуга-15	annotator5	4		прислуга
прислуга-16	прислуга-17	annotator1	4		прислуга
прислуга-16	прислуга-17	annotator2	4		прислуга
прислуга-16	прислуга-17	annotator3	1		прислуга
прислуга-16	прислуга-17	annotator4	1		прислуга
прислуга-16	прислуга-17	annotator5	4		прислуга
прислуга-18	прислуга-19	annotator1	3		прислуга
прислуга-18	прислуга-19	annotator2	3		прислуга
прислуга-18	прислуга-19	annotator3	2		прислуга
прислуга-18	прислуга-19	annotator4	2		прислуга
прислуга-18	прислуга-19	annotator5	3		прислуга
прислуга-20	прислуга-21	annotator1	4		прислуга
прислуга-20	прислуга-21	annotator2	4		прислуга
прислуга-20	прислуга-21	annotator3	4		прислуга
прислуга-20	прислуга-21	annotator4	4		прислуга
прислуга-20	прислуга-21	annotator5	4		прислуга
прислуга-22	прислуга-23	annotator1	4		прислуга
прислуга-22	прислуга-23	annotator2	1		прислуга
прислуга-22	прислуга-23	annotator3	1		прислуга
прислуга-22	прислуга-23	annotator4	4		прислуга
прислуга-22	прислуга-23	annotator5	3		прислуга
прислуга-24	прислуга-25	annotator1	1		прислуга
прислуга-24	прислуга-25	annotator2	4		прислуга
прислуга-24	прислуга-25	annotator3	3		прислуга
прислуга-24	прислуга-25	annotator4	4		прислуга
прислуга-24	прислуга-25	annotator5	1		прислуга
прислуга-26	прислуга-27	annotator1	4		прислуга
прислуга-26	прислуга-27	annotator2	1		прислуга
прислуга-26	прислуга-27	annotator3	4		прислуга
прислуга-26	прислуга-27	annotator4	4		прислуга
прислуга-26	прислуга-27	annotator5	1		прислуга
прислуга-28	прислуга-29	annotator1	4		прислуга
прислуга-28	прислуга-29	annotator2	4		прислуга
прислуга-28	прислуга-29	annotator3	4		прислуга
прислуга-28	прислуга-29	annotator4	4		прислуга
прислуга-28	прислуга-29	annotator5	4		прислуга
прислуга-30	прислуга-31	annotator1	1		прислуга
прислуга-30	прислуга-31	annotator2	1		прислуга
прислуга-30	прислуга-31	annotator3	4		прислуга
прислуга-30	прислуга-31	annotator4	4		прислуга
прислуга-30	прислуга-31	annotator5	0		прислуга
прислуга-32	прислуга-33	annotator1	4		прислуга
прислуга-32	прислуга-33	annotator2	4		прислуга
прислуга-32	прислуга-33	annotator3	1		прислуга
прислуга-32	прислуга-33	annotator4	3		прислуга
прислуга-32	прислуга-33	annotator5	4		прислуга
прислуга-34	прислуга-35	annotator1	4		прислуга
прислуга-34	прислуга-35	annotator2	4		прислуга
