lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
прислуга	NOUN	1918-1990	1	прислуга-0		-- А вдруг они специально засылают друг к другу агентов, под видом прислуги Штирлицев нового поколения.	67:75	0:103
прислуга	NOUN	1991-2017	2	прислуга-1		Домработница (прислуга по старому выражению) встречает его в испуге: -- Батюшка, барыня помирает!	14:22	0:97
прислуга	NOUN	1918-1990	1	прислуга-2		-- Пшел вон, подлец, -- презрительно и твердо -- как пьяной прислуге -- сказал Петр Иваныч -- и толстым беззащитным животом вышел голубоглазому навстречу.	60:68	0:154
прислуга	NOUN	1991-2017	2	прислуга-3		Слева в глинобитном скромном домике, очевидно, помещалась кухня и жилье прислуги, а из будки возле него выскочила и залаяла большая собака, гремя короткой цепью.	72:80	0:161
прислуга	NOUN	1991-2017	2	прислуга-4		-- Тебя, между прочим, как квалифицированную домашнюю прислугу продали!	54:62	0:71
прислуга	NOUN	1991-2017	2	прислуга-5		Почему-то из всей той зимы мне больше всего запомнилось, как я стоял тогда в темноте на морозе и смотрел в светившееся, исчерченное инеем окно, а там суетилась Нина, расставляя чашки на столе, говорила что-то прислуге, но ничего не было слышно сквозь двойные рамы.	209:217	0:264
прислуга	NOUN	1918-1990	1	прислуга-6		-- Я тебе не прислуга, -- отрезала Рита.	13:21	0:40
прислуга	NOUN	1991-2017	2	прислуга-7		Однако онъ испытывалъ свойственное всмъ уволеннымъ людямъ сложное чувство злобы, обиды и стыда, которое чуть-чуть роднитъ уходящихъ въ отставку сановниковъ съ разсчитанной хозяиномъ прислугой.	182:191	0:192
прислуга	NOUN	1918-1990	1	прислуга-8		.. налила крутого борща в украинский горшок, сказав пожилой прислуге (все-таки одна скромная служанка была): "Виталику отнеси, пока горячий!.."	60:68	0:143
прислуга	NOUN	1991-2017	2	прислуга-9		Так коммунистка обходит вопрос о прислуге, им ведь нельзя иметь прислугу.	33:41	0:73
прислуга	NOUN	1991-2017	2	прислуга-10		1 Ама -- так звали в Шанхае прислугу-женщину.	28:43	0:45
прислуга	NOUN	1991-2017	2	прислуга-11		Хаос запустения, прислуги нет, у пса моего есть нянька -- пещерная жительница.	17:25	0:78
прислуга	NOUN	1918-1990	1	прислуга-12		2 марта 1855 года, в день назначения своего на должность командира порта и военного губернатора, он издал приказ по гарнизону Севастополя, где напоминал "всем начальникам священную обязанность, на них лежащую, именно предварительно озаботиться, чтобы при открытии огня с неприятельских батарей не было ни одного лишнего человека не только в открытых местах и без дела, но даже прислуга у орудий и число людей для различных работ были ограничены крайней необходимостью.	377:385	0:468
прислуга	NOUN	1918-1990	1	прислуга-13		В третьей, куда вела вниз лестница, -- помещалась прислуга.	50:58	0:59
прислуга	NOUN	1918-1990	1	прислуга-14		Прислуга заведения его знала, а многие даже обращались ласкательно -- "Янчик".	0:8	0:78
прислуга	NOUN	1991-2017	2	прислуга-15		Василий Парамонович принял эту позицию, Ольга кое-как согласилась, и прислуге Кучновых было приказано считать Фотишну хозяйкой дома.	69:77	0:132
прислуга	NOUN	1918-1990	1	прислуга-16		Прислуга такая из солдат у командиров.	0:8	0:38
прислуга	NOUN	1918-1990	1	прислуга-17		Мало того, большая эта квартира в 12 комнат представляется Оле тесной (надо же было куда то поместить и весь штат прислуги, бонну, гувернантку, гувернера для детей) и поэтому к квартире, занимавшейся дядей, присоединяется квартира над ней.	114:122	0:239
