identifier1	identifier2	annotator	judgment	comment	lemma
приставка-18-13	приставка-19-13	annotator1	1		приставка
приставка-42-13	приставка-43-13	annotator1	1		приставка
приставка-84-13	приставка-85-13	annotator1	3		приставка
приставка-44-13	приставка-45-13	annotator1	1		приставка
приставка-46-13	приставка-47-13	annotator1	4		приставка
приставка-82-13	приставка-83-13	annotator1	4		приставка
приставка-92-13	приставка-93-13	annotator1	4		приставка
приставка-40-13	приставка-41-13	annotator1	2		приставка
приставка-48-13	приставка-49-13	annotator1	1		приставка
приставка-8-13	приставка-9-13	annotator1	1		приставка
приставка-34-13	приставка-35-13	annotator1	1		приставка
приставка-32-13	приставка-33-13	annotator1	3		приставка
приставка-100-13	приставка-101-13	annotator1	1		приставка
приставка-36-13	приставка-37-13	annotator1	1		приставка
приставка-30-13	приставка-31-13	annotator1	1		приставка
приставка-102-13	приставка-103-13	annotator1	4		приставка
приставка-86-13	приставка-87-13	annotator1	1		приставка
приставка-38-13	приставка-39-13	annotator1	1		приставка
приставка-88-13	приставка-89-13	annotator1	1		приставка
приставка-0-13	приставка-1-13	annotator1	3		приставка
приставка-2-13	приставка-3-13	annotator1	1		приставка
приставка-12-13	приставка-13-13	annotator1	3		приставка
приставка-4-13	приставка-5-13	annotator1	3		приставка
приставка-6-13	приставка-7-13	annotator1	1		приставка
приставка-10-13	приставка-11-13	annotator1	4		приставка
приставка-118-13	приставка-119-13	annotator1	1		приставка
приставка-116-13	приставка-117-13	annotator1	1		приставка
приставка-114-13	приставка-115-13	annotator1	4		приставка
приставка-112-13	приставка-113-13	annotator1	3		приставка
приставка-16-13	приставка-17-13	annotator1	1		приставка
приставка-90-13	приставка-91-13	annotator1	1		приставка
приставка-20-13	приставка-21-13	annotator1	1		приставка
приставка-78-13	приставка-79-13	annotator1	1		приставка
приставка-22-13	приставка-23-13	annotator1	2		приставка
приставка-98-13	приставка-99-13	annotator1	4		приставка
приставка-28-13	приставка-29-13	annotator1	3		приставка
приставка-14-13	приставка-15-13	annotator1	2		приставка
приставка-72-13	приставка-73-13	annotator1	1		приставка
приставка-74-13	приставка-75-13	annotator1	1		приставка
приставка-76-13	приставка-77-13	annotator1	2		приставка
приставка-52-13	приставка-53-13	annotator1	1		приставка
приставка-108-13	приставка-109-13	annotator1	1		приставка
приставка-54-13	приставка-55-13	annotator1	4		приставка
приставка-64-13	приставка-65-13	annotator1	1		приставка
приставка-26-13	приставка-27-13	annotator1	1		приставка
приставка-58-13	приставка-59-13	annotator1	1		приставка
приставка-50-13	приставка-51-13	annotator1	3		приставка
приставка-56-13	приставка-57-13	annotator1	1		приставка
приставка-70-13	приставка-71-13	annotator1	4		приставка
приставка-94-13	приставка-95-13	annotator1	4		приставка
приставка-80-13	приставка-81-13	annotator1	4		приставка
приставка-66-13	приставка-67-13	annotator1	1		приставка
приставка-110-13	приставка-111-13	annotator1	4		приставка
приставка-62-13	приставка-63-13	annotator1	1		приставка
приставка-24-13	приставка-25-13	annotator1	4		приставка
приставка-104-13	приставка-105-13	annotator1	2		приставка
приставка-96-13	приставка-97-13	annotator1	1		приставка
приставка-60-13	приставка-61-13	annotator1	1		приставка
приставка-68-13	приставка-69-13	annotator1	1		приставка
приставка-106-13	приставка-107-13	annotator1	4		приставка
приставка-52-13	приставка-53-13	annotator2	1		приставка
приставка-118-13	приставка-119-13	annotator2	1		приставка
приставка-112-13	приставка-113-13	annotator2	4		приставка
приставка-26-13	приставка-27-13	annotator2	1		приставка
приставка-116-13	приставка-117-13	annotator2	1		приставка
приставка-58-13	приставка-59-13	annotator2	2		приставка
приставка-16-13	приставка-17-13	annotator2	1		приставка
приставка-6-13	приставка-7-13	annotator2	1		приставка
приставка-62-13	приставка-63-13	annotator2	1		приставка
приставка-4-13	приставка-5-13	annotator2	3		приставка
приставка-2-13	приставка-3-13	annotator2	1		приставка
приставка-0-13	приставка-1-13	annotator2	1		приставка
приставка-114-13	приставка-115-13	annotator2	4		приставка
приставка-18-13	приставка-19-13	annotator2	1		приставка
приставка-68-13	приставка-69-13	annotator2	1		приставка
приставка-56-13	приставка-57-13	annotator2	1		приставка
приставка-24-13	приставка-25-13	annotator2	4		приставка
приставка-28-13	приставка-29-13	annotator2	4		приставка
приставка-50-13	приставка-51-13	annotator2	1		приставка
приставка-30-13	приставка-31-13	annotator2	1		приставка
