lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
приставка	NOUN	1991-2017	2	приставка-0		"ЛУКОЙЛ Рейсинг" в кольцевых автогонках, "ЛУКОЙЛ-Динамо" в гандболе, "ЛУКОЙЛ-Спартак" в водном поло, "ЛУКОЙЛ-Башкортостан" в спидвее и, наконец, футбольный "Спартак", невесть каким образом уберегшийся от назойливой приставки, -- все это сегодняшние игрушки нефтяников.	215:224	0:268
приставка	NOUN	1991-2017	2	приставка-1		Оно было занесено на Русь византийскими каменщиками еще в киевские времена и быстро исказилось по образцу русских слов с приставкой из-: так получилось слово известь и все его производные -- известняк, известка и пр.	121:131	0:216
приставка	NOUN	1918-1990	1	приставка-2		"Эти люди в такие минуты начинают говорить с приставкой " (")с" (")", -- подумал майор.	45:55	0:87
приставка	NOUN	1918-1990	1	приставка-3		Эта приставка: Ur! Urquelle, Urkunde, Urzeit, Urnacht.	4:13	0:54
приставка	NOUN	1918-1990	1	приставка-4		-- Выделим в словах приставки и суффиксы, -- сказала Вера Евстигнеевна.	20:29	0:71
приставка	NOUN	1918-1990	1	приставка-5		Для выявления же понятий мещанства, буржуазности -- приставка klein: klein-burgerlich.	52:61	0:86
приставка	NOUN	1918-1990	1	приставка-6		Приставка DC (Dual Control) означает качественный скачок в развитии системы.	0:9	0:76
приставка	NOUN	1991-2017	2	приставка-7		Можно ли придумать что-нибудь более лубочное, корявое, нелепое, неискусное, подрывающее собственное дело Что касается приставки насчет радио, то она так же наивна и нелепа (зачем Львов приехал к Корнилову как посланец министра-председателя), и, конечно, Керенский, со своей стороны, объявляет ее сплошной ложью.	118:127	0:311
приставка	NOUN	1991-2017	2	приставка-8		А приставки на упаковке типа "супра", "компакт", "микро", "ультра" указывают на то, что средство в полтора раза экономичнее того же CMC, но без приставок.	2:11	0:154
приставка	NOUN	1991-2017	2	приставка-9		Но не "Меганов" и "Рено-19", а седана "Символ", который раньше с приставкой "Клио" поставлялся в Россию с турецкого завода "Рено".	65:75	0:130
приставка	NOUN	1918-1990	1	приставка-10		А если всерьез -- есть основания предположить, что слово "паперть" ведет происхождение от симбиоза греческой приставки "пара" со значением "около", "возле" и латинского слова "порта" -- "ворота".	109:118	0:195
приставка	NOUN	1991-2017	2	приставка-11		Он сделал это без возражений, изящно добавив к своей фамилии приставку "Ска".	61:70	0:77
приставка	NOUN	1991-2017	2	приставка-12		А если так, то счастливого владельца такой приставки при переключении программ ждет жуткая какофония из парфюмерных запахов телереклам, пороховых дымов сводок новостей и ароматов свинофермы из передачи "Сельский час".	43:52	0:217
приставка	NOUN	1991-2017	2	приставка-13		-- Вы никак не могли знать, как не могли этого знать и те, кто вас послал, что вилла альвиц давно вызывает у нас пристальный интерес, и мюнхенский узел ЕСИ много лет назад оборудован небольшой автоматической приставкой.	208:218	0:219
приставка	NOUN	1918-1990	1	приставка-14		А кроме того, была еще приставка присутствия -- ПП (я, автор, еще не сконструировал ее мысленно, но думаю, что Гелий сможет -- он все может, человек с КПД 1200 процентов).	23:32	0:171
приставка	NOUN	1918-1990	1	приставка-15		(Этой приставкой буквы "Д" большинство русских нетитулованных дворян стремились подчеркнуть во Франции свою принадлежность к аристократии, не учитывая, что эта приставка для французских дворян произошла от родительного падежа названия того замка, который принадлежал данной семье.	6:16	0:280
приставка	NOUN	1991-2017	2	приставка-16		А спустя несколько лет зачадила перестройка и стало не до каких-то там приставок и ледоломов.	71:80	0:93
приставка	NOUN	1991-2017	2	приставка-17		Мешок с камнями (обычный мешок с обычными камнями), банка засахаренного меда без крышки, крупа перловая в бумажном пакете (с дырочкой в левом боку), книга "Домоводство" 1911 года издания, коробка с разобранными коммуникаторами, разбитая игровая приставка, моль (живая) и восемь пачек папирос.	245:254	0:292
приставка	NOUN	1918-1990	1	приставка-18		А что изменилось На месте того автомата с самодельной приставкой стоит современный, купленный в ФРГ и налаженный еще в 1985 году зарубежными специалистами.	54:64	0:155
приставка	NOUN	1918-1990	1	приставка-19		Очень заинтересовали меня "Слова беззаконники": в них нашел я ценный материал для нового издания одной своей книжки (есть у меня такая книжка: "От двух до пяти"), но больше всего пришлась мне по душе глава "Капризы суффиксов и приставок" -- об ограничении сферы суффикса "н" и о том, как предлог преобразуется в приставку (в таких словах, как Поволжье, настольный и проч.	312:321	0:371
приставка	NOUN	1991-2017	2	приставка-20		В Советском Союзе это кино очень любили показывать: любуйтесь, дескать, на нравы современных буржуа -- им что приставку игровую, что человека купить.	110:119	0:149
приставка	NOUN	1991-2017	2	приставка-21		Представление о том, что все лучшее должно непременно иметь приставку "евро" стало с подачи СМИ для массового сознания настолько привычно, что работы, производимые в квартирах российских обывателей молдавскими и украинскими гастарбайтерами, именуются не иначе, как "евроремонтом", а реклама неизменно предлагает "евроокна", "евродвери" и т. п. На политическом уровне в вопросах законодательства, политической и социальной практики нас неизменно призывают брать пример именно с европейских стран, а не с Америки, уподобить свои общественные институты существующим в Евросоюзе, а не в США.	60:69	0:587
приставка	NOUN	1918-1990	1	приставка-22		В блоке с калибровочными станками используется также фрезерная приставка к головной лесопильной раме.	63:72	0:101
приставка	NOUN	1918-1990	1	приставка-23		По их авторскому свидетельству 287532 от 1970 года виброустройство выносится на отдельную приставку, толкаемую ледоколом, -- вибрация действует только на нее.	90:99	0:158
приставка	NOUN	1918-1990	1	приставка-24		В центре внимания "пространственных" исследований находятся предлоги, приставки и адвербиальные модификаторы глаголов.	70:79	0:118
приставка	NOUN	1991-2017	2	приставка-25		10 -8 г, а РНК -- 1,5 . 10 -9 г. Есть правда, простой способ избежать степеней в этих величинах -- перейти к другим единицам измерений, сделав лишь соответствующие приставки: микро -- 10 -6 , пико -- 10 -12.	164:173	0:207
приставка	NOUN	1918-1990	1	приставка-26		Вернее, это не телефон, а только усилительная приставка к обычному телефону.	46:55	0:76
приставка	NOUN	1918-1990	1	приставка-27		До чего дошло дело: передачи по радио для любителей русского языка: "Труженики-суффиксы и работяги-приставки".	-1:16	0:110
приставка	NOUN	1991-2017	2	приставка-28		Восприятие слова на слух -- не простой процесс, лингвистические модели слов состоят из частей слова (скажем, приставка-корень-суффикс-окончание), а они в свою очередь из звуков и их сочетаний (фонем).	109:140	0:200
приставка	NOUN	1991-2017	2	приставка-29		Запомним также две приставки, которые могут нам пригодиться: немного -- oligo- (олигарх).	19:28	0:89
приставка	NOUN	1918-1990	1	приставка-30		Все эти приставки придают русской речи столько богатейших оттенков.	8:17	0:67
