identifier1	identifier2	annotator	judgment	comment	lemma
провальный-24-13	провальный-25-13	annotator1	4		провальный
провальный-4-13	провальный-5-13	annotator1	1		провальный
провальный-44-13	провальный-45-13	annotator1	1		провальный
провальный-54-13	провальный-55-13	annotator1	1		провальный
провальный-22-13	провальный-23-13	annotator1	1		провальный
провальный-2-13	провальный-3-13	annotator1	4		провальный
провальный-56-13	провальный-57-13	annotator1	4		провальный
провальный-0-13	провальный-1-13	annotator1	3		провальный
провальный-52-13	провальный-53-13	annotator1	2		провальный
провальный-50-13	провальный-51-13	annotator1	4		провальный
провальный-48-13	провальный-49-13	annotator1	1		провальный
провальный-62-13	провальный-63-13	annotator1	3		провальный
провальный-46-13	провальный-47-13	annotator1	1		провальный
провальный-64-13	провальный-65-13	annotator1	3		провальный
провальный-32-13	провальный-33-13	annotator1	3		провальный
провальный-16-13	провальный-17-13	annotator1	1		провальный
провальный-42-13	провальный-43-13	annotator1	2		провальный
провальный-58-13	провальный-59-13	annotator1	1		провальный
провальный-34-13	провальный-35-13	annotator1	4		провальный
провальный-6-13	провальный-7-13	annotator1	1		провальный
провальный-20-13	провальный-21-13	annotator1	1		провальный
провальный-26-13	провальный-27-13	annotator1	4		провальный
провальный-12-13	провальный-13-13	annotator1	4		провальный
провальный-30-13	провальный-31-13	annotator1	1		провальный
провальный-8-13	провальный-9-13	annotator1	3		провальный
провальный-60-13	провальный-61-13	annotator1	1		провальный
провальный-36-13	провальный-37-13	annotator1	4		провальный
провальный-38-13	провальный-39-13	annotator1	1		провальный
провальный-10-13	провальный-11-13	annotator1	4		провальный
провальный-18-13	провальный-19-13	annotator1	1		провальный
провальный-40-13	провальный-41-13	annotator1	4		провальный
провальный-28-13	провальный-29-13	annotator1	4		провальный
провальный-14-13	провальный-15-13	annotator1	2		провальный
провальный-14-13	провальный-15-13	annotator2	3		провальный
провальный-44-13	провальный-45-13	annotator2	1		провальный
провальный-46-13	провальный-47-13	annotator2	1		провальный
провальный-18-13	провальный-19-13	annotator2	4		провальный
провальный-64-13	провальный-65-13	annotator2	4		провальный
провальный-4-13	провальный-5-13	annotator2	2		провальный
провальный-48-13	провальный-49-13	annotator2	1		провальный
провальный-62-13	провальный-63-13	annotator2	2		провальный
провальный-0-13	провальный-1-13	annotator2	3		провальный
провальный-20-13	провальный-21-13	annotator2	1		провальный
провальный-22-13	провальный-23-13	annotator2	1		провальный
провальный-2-13	провальный-3-13	annotator2	4		провальный
провальный-28-13	провальный-29-13	annotator2	1		провальный
провальный-24-13	провальный-25-13	annotator2	3		провальный
провальный-12-13	провальный-13-13	annotator2	4		провальный
провальный-26-13	провальный-27-13	annotator2	1		провальный
провальный-30-13	провальный-31-13	annotator2	1		провальный
провальный-16-13	провальный-17-13	annotator2	4		провальный
провальный-36-13	провальный-37-13	annotator2	3		провальный
провальный-54-13	провальный-55-13	annotator2	1		провальный
провальный-34-13	провальный-35-13	annotator2	4		провальный
провальный-56-13	провальный-57-13	annotator2	4		провальный
провальный-52-13	провальный-53-13	annotator2	1		провальный
провальный-60-13	провальный-61-13	annotator2	4		провальный
провальный-58-13	провальный-59-13	annotator2	1		провальный
провальный-38-13	провальный-39-13	annotator2	1		провальный
провальный-8-13	провальный-9-13	annotator2	3		провальный
провальный-32-13	провальный-33-13	annotator2	4		провальный
провальный-42-13	провальный-43-13	annotator2	1		провальный
провальный-6-13	провальный-7-13	annotator2	1		провальный
провальный-50-13	провальный-51-13	annotator2	3		провальный
провальный-10-13	провальный-11-13	annotator2	4		провальный
провальный-40-13	провальный-41-13	annotator2	4		провальный
провальный-12-13	провальный-13-13	annotator3	4		провальный
провальный-26-13	провальный-27-13	annotator3	4		провальный
провальный-4-13	провальный-5-13	annotator3	1		провальный
провальный-46-13	провальный-47-13	annotator3	3		провальный
провальный-10-13	провальный-11-13	annotator3	1		провальный
провальный-28-13	провальный-29-13	annotator3	2		провальный
провальный-30-13	провальный-31-13	annotator3	1		провальный
провальный-20-13	провальный-21-13	annotator3	4		провальный
провальный-18-13	провальный-19-13	annotator3	4		провальный
провальный-38-13	провальный-39-13	annotator3	4		провальный
провальный-60-13	провальный-61-13	annotator3	4		провальный
провальный-62-13	провальный-63-13	annotator3	4		провальный
провальный-36-13	провальный-37-13	annotator3	4		провальный
провальный-8-13	провальный-9-13	annotator3	1		провальный
провальный-16-13	провальный-17-13	annotator3	3		провальный
провальный-14-13	провальный-15-13	annotator3	1		провальный
провальный-0-13	провальный-1-13	annotator3	3		провальный
провальный-42-13	провальный-43-13	annotator3	1		провальный
провальный-6-13	провальный-7-13	annotator3	3		провальный
провальный-44-13	провальный-45-13	annotator3	2		провальный
провальный-50-13	провальный-51-13	annotator3	4		провальный
провальный-58-13	провальный-59-13	annotator3	1		провальный
провальный-64-13	провальный-65-13	annotator3	1		провальный
провальный-32-13	провальный-33-13	annotator3	4		провальный
провальный-48-13	провальный-49-13	annotator3	1		провальный
провальный-40-13	провальный-41-13	annotator3	1		провальный
провальный-56-13	провальный-57-13	annotator3	4		провальный
провальный-54-13	провальный-55-13	annotator3	4		провальный
провальный-22-13	провальный-23-13	annotator3	1		провальный
провальный-34-13	провальный-35-13	annotator3	4		провальный
провальный-2-13	провальный-3-13	annotator3	4		провальный
провальный-52-13	провальный-53-13	annotator3	2		провальный
провальный-24-13	провальный-25-13	annotator3	1		провальный
провальный-0-13	провальный-1-13	annotator4	4		провальный
провальный-30-13	провальный-31-13	annotator4	1		провальный
провальный-32-13	провальный-33-13	annotator4	3		провальный
провальный-64-13	провальный-65-13	annotator4	1		провальный
провальный-18-13	провальный-19-13	annotator4	4		провальный
провальный-34-13	провальный-35-13	annotator4	4		провальный
провальный-4-13	провальный-5-13	annotator4	1		провальный
провальный-16-13	провальный-17-13	annotator4	4		провальный
провальный-8-13	провальный-9-13	annotator4	4		провальный
провальный-2-13	провальный-3-13	annotator4	4		провальный
провальный-6-13	провальный-7-13	annotator4	1		провальный
провальный-14-13	провальный-15-13	annotator4	1		провальный
провальный-38-13	провальный-39-13	annotator4	1		провальный
провальный-60-13	провальный-61-13	annotator4	4		провальный
