identifier1	identifier2	annotator	judgment	comment	lemma
продукция-0	продукция-1	annotator1	4		продукция
продукция-0	продукция-1	annotator2	4		продукция
продукция-0	продукция-1	annotator3	4		продукция
продукция-0	продукция-1	annotator4	4		продукция
продукция-0	продукция-1	annotator5	4		продукция
продукция-2	продукция-3	annotator1	4		продукция
продукция-2	продукция-3	annotator2	2		продукция
продукция-2	продукция-3	annotator3	1		продукция
продукция-2	продукция-3	annotator4	4		продукция
продукция-2	продукция-3	annotator5	3		продукция
продукция-4	продукция-5	annotator1	1		продукция
продукция-4	продукция-5	annotator2	1		продукция
продукция-4	продукция-5	annotator3	1		продукция
продукция-4	продукция-5	annotator4	1		продукция
продукция-4	продукция-5	annotator5	1		продукция
продукция-6	продукция-7	annotator1	4		продукция
продукция-6	продукция-7	annotator2	3		продукция
продукция-6	продукция-7	annotator3	4		продукция
продукция-6	продукция-7	annotator4	4		продукция
продукция-6	продукция-7	annotator5	3		продукция
продукция-8	продукция-9	annotator1	4		продукция
продукция-8	продукция-9	annotator2	4		продукция
продукция-8	продукция-9	annotator3	4		продукция
продукция-8	продукция-9	annotator4	2		продукция
продукция-8	продукция-9	annotator5	4		продукция
продукция-10	продукция-11	annotator1	3		продукция
продукция-10	продукция-11	annotator2	4		продукция
продукция-10	продукция-11	annotator3	4		продукция
продукция-10	продукция-11	annotator4	4		продукция
продукция-10	продукция-11	annotator5	4		продукция
продукция-12	продукция-13	annotator1	4		продукция
продукция-12	продукция-13	annotator2	2		продукция
продукция-12	продукция-13	annotator3	4		продукция
продукция-12	продукция-13	annotator4	2		продукция
продукция-12	продукция-13	annotator5	4		продукция
продукция-14	продукция-15	annotator1	4		продукция
продукция-14	продукция-15	annotator2	1		продукция
продукция-14	продукция-15	annotator3	1		продукция
продукция-14	продукция-15	annotator4	4		продукция
продукция-14	продукция-15	annotator5	3		продукция
продукция-16	продукция-17	annotator1	4		продукция
продукция-16	продукция-17	annotator2	4		продукция
продукция-16	продукция-17	annotator3	4		продукция
продукция-16	продукция-17	annotator4	4		продукция
продукция-16	продукция-17	annotator5	4		продукция
продукция-18	продукция-19	annotator1	4		продукция
продукция-18	продукция-19	annotator2	3		продукция
продукция-18	продукция-19	annotator3	4		продукция
продукция-18	продукция-19	annotator4	4		продукция
продукция-18	продукция-19	annotator5	4		продукция
продукция-20	продукция-21	annotator1	4		продукция
продукция-20	продукция-21	annotator2	4		продукция
продукция-20	продукция-21	annotator3	4		продукция
продукция-20	продукция-21	annotator4	4		продукция
продукция-20	продукция-21	annotator5	4		продукция
продукция-22	продукция-23	annotator1	1		продукция
продукция-22	продукция-23	annotator2	1		продукция
продукция-22	продукция-23	annotator3	1		продукция
продукция-22	продукция-23	annotator4	4		продукция
продукция-22	продукция-23	annotator5	4		продукция
продукция-24	продукция-25	annotator1	4		продукция
продукция-24	продукция-25	annotator2	4		продукция
продукция-24	продукция-25	annotator3	4		продукция
продукция-24	продукция-25	annotator4	4		продукция
продукция-24	продукция-25	annotator5	2		продукция
продукция-26	продукция-27	annotator1	4		продукция
продукция-26	продукция-27	annotator2	4		продукция
продукция-26	продукция-27	annotator3	4		продукция
продукция-26	продукция-27	annotator4	3		продукция
продукция-26	продукция-27	annotator5	4		продукция
продукция-28	продукция-29	annotator1	4		продукция
продукция-28	продукция-29	annotator2	4		продукция
продукция-28	продукция-29	annotator3	4		продукция
продукция-28	продукция-29	annotator4	4		продукция
продукция-28	продукция-29	annotator5	3		продукция
продукция-30	продукция-31	annotator1	4		продукция
продукция-30	продукция-31	annotator2	4		продукция
продукция-30	продукция-31	annotator3	4		продукция
продукция-30	продукция-31	annotator4	4		продукция
продукция-30	продукция-31	annotator5	4		продукция
продукция-32	продукция-33	annotator1	4		продукция
продукция-32	продукция-33	annotator2	4		продукция
продукция-32	продукция-33	annotator3	4		продукция
продукция-32	продукция-33	annotator4	4		продукция
продукция-32	продукция-33	annotator5	4		продукция
продукция-34	продукция-35	annotator1	4		продукция
продукция-34	продукция-35	annotator2	4		продукция
продукция-34	продукция-35	annotator3	4		продукция
продукция-34	продукция-35	annotator4	4		продукция
продукция-34	продукция-35	annotator5	4		продукция
продукция-36	продукция-37	annotator1	2		продукция
продукция-36	продукция-37	annotator2	3		продукция
продукция-36	продукция-37	annotator3	4		продукция
продукция-36	продукция-37	annotator4	3		продукция
продукция-36	продукция-37	annotator5	4		продукция
продукция-38	продукция-39	annotator1	4		продукция
продукция-38	продукция-39	annotator2	3		продукция
продукция-38	продукция-39	annotator3	4		продукция
продукция-38	продукция-39	annotator4	4		продукция
продукция-38	продукция-39	annotator5	4		продукция
продукция-40	продукция-41	annotator1	4		продукция
продукция-40	продукция-41	annotator2	4		продукция
продукция-40	продукция-41	annotator3	4		продукция
продукция-40	продукция-41	annotator4	3		продукция
продукция-40	продукция-41	annotator5	3		продукция
продукция-42	продукция-43	annotator1	4		продукция
продукция-42	продукция-43	annotator2	4		продукция
продукция-42	продукция-43	annotator3	4		продукция
продукция-42	продукция-43	annotator4	1		продукция
продукция-42	продукция-43	annotator5	3		продукция
продукция-44	продукция-45	annotator1	4		продукция
продукция-44	продукция-45	annotator2	4		продукция
продукция-44	продукция-45	annotator3	4		продукция
продукция-44	продукция-45	annotator4	4		продукция
продукция-44	продукция-45	annotator5	4		продукция
продукция-46	продукция-47	annotator1	4		продукция
продукция-46	продукция-47	annotator2	3		продукция
продукция-46	продукция-47	annotator3	1		продукция
