lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
продукция	NOUN	1918-1990	1	продукция-0		"За калий" В тамбовском производственном объединении "Пигмент" выработана опытная партия новой продукции -- фесутама.	95:104	0:117
продукция	NOUN	1918-1990	1	продукция-1		Когда мастер достал из-под верстака заказ, оказалось, что клиент должным образом к приему выпущенной продукции не подготовился.	101:110	0:127
продукция	NOUN	1991-2017	2	продукция-2		"Консервпром" располагает собственной испытательной лабораторией, оснащенной современным оборудованием, позволяющим выполнять весь спектр анализов и контроля как сырья, так и готовой продукции.	183:192	0:193
продукция	NOUN	1991-2017	2	продукция-3		Правда, самиздатовская продукция -- часто не та литература, которая действительно может просветить.	23:32	0:99
продукция	NOUN	1991-2017	2	продукция-4		(По прогнозам Мясного союза России, цены на продукцию могут подскочить до 30%).	44:53	0:79
продукция	NOUN	1991-2017	2	продукция-5		Более того, начало продукции цитокинов активированной глией, как выяснилось, предшествует даже процессу апоптоза нейронов [16].	19:28	0:127
продукция	NOUN	1991-2017	2	продукция-6		-- Какие у компании долгосрочные планы в России -- В России свою стратегию Valio выстраивает на том, что будет предлагать весь спектр молочной продукции, чтобы заинтересовать партнеров в торговом секторе.	143:152	0:204
продукция	NOUN	1991-2017	2	продукция-7		Вывод для России неутешительный: для того чтобы при равных исходных условиях (основных слагаемых себестоимости) обеспечить равную норму прибыли от реализации готовой продукции в России и в Великобритании, цены в России должны быть на 28% выше.	166:175	0:243
продукция	NOUN	1991-2017	2	продукция-8		6) Для решения назревших проблем рационального использования геологических информационных ресурсов о недрах как одного из видов движимой собственности, необходима постановка серьезных научно-исследовательских работ по разработке ряда нормативно-методических документов, а также дополнений и изменений к законодательным актам Российской Федерации, что позволит обеспечить их ввод в хозяйственный оборот на правовой основе в интересах государства и создателей этой продукции.	463:472	0:473
продукция	NOUN	1991-2017	2	продукция-9		Значительная часть продукции отправляется в страны дальнего зарубежья: США, Австралию, Грецию, Корею, Монголию, Вьетнам и другие.	19:28	0:129
продукция	NOUN	1918-1990	1	продукция-10		Анархичность положить на обе лопатки плановостью Промышленность, заказчики не знают плана развития приемных установок; они на глаз примеривают потребность и на риск развивают массовую продукцию, будучи в неизвестности, какое соотношение по отдельным частям радиопродукции потребует своим спросом радиолюбитель, радиослушатель.	184:193	0:326
продукция	NOUN	1918-1990	1	продукция-11		Ясно было, что Советская страна сумела завоевать целый период мирной передышки. довоенной промышленной продукции.	103:112	0:113
продукция	NOUN	1991-2017	2	продукция-12		Бизнес заключался в том, что Григорий с двумя дружками покупали на умирающем заводе пиломатериалов доски, шпон и брус, покупали, дураку ясно, за наличные, у начальника цеха, продававшего готовую продукцию как брак, по дешевке.	195:204	0:226
продукция	NOUN	1991-2017	2	продукция-13		Компания столкнулась с проблемами как на входе -- нехватка проектов, так и на выходе -- крайне низкий спрос на продукцию портфельных компаний.	111:120	0:142
продукция	NOUN	1918-1990	1	продукция-14		В азотной промышленности такие комплексы будут состоять из головного агрегата аммиака и одного или нескольких (подобранных по близости технологии и мощности) производств готовой продукции: капролактам и аммиачная селитра, капролактам и карбамид, нитроаммофоска и аммиачная селитра, только карбамид и так далее.	178:187	0:310
