identifier1	identifier2	annotator	judgment	comment	lemma
раскрутка-0	раскрутка-1	annotator1	1		раскрутка
раскрутка-0	раскрутка-1	annotator2	3		раскрутка
раскрутка-0	раскрутка-1	annotator3	4		раскрутка
раскрутка-0	раскрутка-1	annotator4	4		раскрутка
раскрутка-0	раскрутка-1	annotator5	2		раскрутка
раскрутка-2	раскрутка-3	annotator1	4		раскрутка
раскрутка-2	раскрутка-3	annotator2	4		раскрутка
раскрутка-2	раскрутка-3	annotator3	4		раскрутка
раскрутка-2	раскрутка-3	annotator4	4		раскрутка
раскрутка-2	раскрутка-3	annotator5	4		раскрутка
раскрутка-4	раскрутка-5	annotator1	4		раскрутка
раскрутка-4	раскрутка-5	annotator2	4		раскрутка
раскрутка-4	раскрутка-5	annotator3	3		раскрутка
раскрутка-4	раскрутка-5	annotator4	1		раскрутка
раскрутка-4	раскрутка-5	annotator5	4		раскрутка
раскрутка-6	раскрутка-7	annotator1	1		раскрутка
раскрутка-6	раскрутка-7	annotator2	1		раскрутка
раскрутка-6	раскрутка-7	annotator3	2		раскрутка
раскрутка-6	раскрутка-7	annotator4	1		раскрутка
раскрутка-6	раскрутка-7	annotator5	1		раскрутка
раскрутка-8	раскрутка-9	annotator1	1		раскрутка
раскрутка-8	раскрутка-9	annotator2	1		раскрутка
раскрутка-8	раскрутка-9	annotator3	2		раскрутка
раскрутка-8	раскрутка-9	annotator4	1		раскрутка
раскрутка-8	раскрутка-9	annotator5	2		раскрутка
раскрутка-10	раскрутка-11	annotator1	4		раскрутка
раскрутка-10	раскрутка-11	annotator2	4		раскрутка
раскрутка-10	раскрутка-11	annotator3	4		раскрутка
раскрутка-10	раскрутка-11	annotator4	4		раскрутка
раскрутка-10	раскрутка-11	annotator5	4		раскрутка
раскрутка-12	раскрутка-13	annotator1	4		раскрутка
раскрутка-12	раскрутка-13	annotator2	4		раскрутка
раскрутка-12	раскрутка-13	annotator3	4		раскрутка
раскрутка-12	раскрутка-13	annotator4	4		раскрутка
раскрутка-12	раскрутка-13	annotator5	4		раскрутка
раскрутка-14	раскрутка-15	annotator1	1		раскрутка
раскрутка-14	раскрутка-15	annotator2	1		раскрутка
раскрутка-14	раскрутка-15	annotator3	2		раскрутка
раскрутка-14	раскрутка-15	annotator4	3		раскрутка
раскрутка-14	раскрутка-15	annotator5	3		раскрутка
раскрутка-16	раскрутка-17	annotator1	4		раскрутка
раскрутка-16	раскрутка-17	annotator2	4		раскрутка
раскрутка-16	раскрутка-17	annotator3	4		раскрутка
раскрутка-16	раскрутка-17	annotator4	4		раскрутка
раскрутка-16	раскрутка-17	annotator5	4		раскрутка
раскрутка-18	раскрутка-19	annotator1	1		раскрутка
раскрутка-18	раскрутка-19	annotator2	3		раскрутка
раскрутка-18	раскрутка-19	annotator3	4		раскрутка
раскрутка-18	раскрутка-19	annotator4	1		раскрутка
раскрутка-18	раскрутка-19	annotator5	4		раскрутка
раскрутка-20	раскрутка-21	annotator1	4		раскрутка
раскрутка-20	раскрутка-21	annotator2	1		раскрутка
раскрутка-20	раскрутка-21	annotator3	1		раскрутка
раскрутка-20	раскрутка-21	annotator4	1		раскрутка
раскрутка-20	раскрутка-21	annotator5	1		раскрутка
раскрутка-22	раскрутка-23	annotator1	4		раскрутка
раскрутка-22	раскрутка-23	annotator2	4		раскрутка
раскрутка-22	раскрутка-23	annotator3	3		раскрутка
раскрутка-22	раскрутка-23	annotator4	4		раскрутка
раскрутка-22	раскрутка-23	annotator5	4		раскрутка
раскрутка-24	раскрутка-25	annotator1	1		раскрутка
раскрутка-24	раскрутка-25	annotator2	4		раскрутка
раскрутка-24	раскрутка-25	annotator3	1		раскрутка
раскрутка-24	раскрутка-25	annotator4	1		раскрутка
раскрутка-24	раскрутка-25	annotator5	1		раскрутка
раскрутка-26	раскрутка-27	annotator1	4		раскрутка
раскрутка-26	раскрутка-27	annotator2	4		раскрутка
раскрутка-26	раскрутка-27	annotator3	4		раскрутка
раскрутка-26	раскрутка-27	annotator4	4		раскрутка
раскрутка-26	раскрутка-27	annotator5	4		раскрутка
раскрутка-28	раскрутка-29	annotator1	3		раскрутка
раскрутка-28	раскрутка-29	annotator2	4		раскрутка
раскрутка-28	раскрутка-29	annotator3	4		раскрутка
раскрутка-28	раскрутка-29	annotator4	4		раскрутка
раскрутка-28	раскрутка-29	annotator5	4		раскрутка
раскрутка-30	раскрутка-31	annotator1	1		раскрутка
раскрутка-30	раскрутка-31	annotator2	4		раскрутка
раскрутка-30	раскрутка-31	annotator3	3		раскрутка
раскрутка-30	раскрутка-31	annotator4	1		раскрутка
раскрутка-30	раскрутка-31	annotator5	1		раскрутка
раскрутка-32	раскрутка-33	annotator1	1		раскрутка
раскрутка-32	раскрутка-33	annotator2	1		раскрутка
раскрутка-32	раскрутка-33	annotator3	1		раскрутка
раскрутка-32	раскрутка-33	annotator4	1		раскрутка
раскрутка-32	раскрутка-33	annotator5	1		раскрутка
раскрутка-34	раскрутка-35	annotator1	1		раскрутка
раскрутка-34	раскрутка-35	annotator2	4		раскрутка
раскрутка-34	раскрутка-35	annotator3	4		раскрутка
раскрутка-34	раскрутка-35	annotator4	3		раскрутка
раскрутка-34	раскрутка-35	annotator5	1		раскрутка
