lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
раскрутка	NOUN	1918-1990	1	раскрутка-0		"Фабрика грез" намечала аккурат к сентябрю широкомасштабную раскрутку очередных триллеров со взрывами, террористами и захватом самолетов.	60:69	0:137
раскрутка	NOUN	1991-2017	2	раскрутка-1		Маркс придумал классическую формулу: деньги-товар-деньги (о таланте, заметьте, ни слова!), а сегодня родилась универсальная модификация: "деньги-раскрутка-деньги"!	-1:20	0:163
раскрутка	NOUN	1991-2017	2	раскрутка-2		PR-менеджер Дирка Биккемберга взялся за раскрутку Симачева в Европе. *Почти одновременно Нина Неретина и Донис Пупис получают гран-при на фестивале в Йеле за коллекцию "Юра", посвященную нашему космонавту Юрию Гагарину, а зимой их майки с надписью "Юра" на спине бодро разбирали в "Седьмом элементе". *В концептуальном парижском бутике Colette начинают продаваться ошейники и войлочные сумки от Ольги Солдатовой с крупными красными звездами, вышитыми бисером. *Российские байеры поворачиваются лицом к своему отечеству: к концу 2001 года в Москве не остается почти ни одного мультибрэндового бутика, где в ряду с европейскими модными брэндами не было бы хотя бы одной русской марки.	40:49	0:682
раскрутка	NOUN	1991-2017	2	раскрутка-3		Версия четвертая (комплексная) Дело против меня начало раскручиваться по инициативе Коржакова и Барсукова, а затем к его раскрутке присоединился Лужков, который постоянно проигрывал мне, если нам приходилось вместе принимать участие или выступать на каких-либо мероприятиях.	121:130	0:274
раскрутка	NOUN	1918-1990	1	раскрутка-4		А известный американский специалист по маховичным двигателям доктор Д. Рабенхорст разработал проект легкового автомобиля, способного проехать с одной раскрутки маховика до 180 км со средней скоростью 90 км/ч.	150:159	0:208
раскрутка	NOUN	1918-1990	1	раскрутка-5		Давление в ней на уровне моря составляет в среднем 930-950 мбар, а на расстоянии в 100 км от центра раскрутки -- около 1000 мбар.	100:109	0:129
раскрутка	NOUN	1918-1990	1	раскрутка-6		В регионах же цены на недвижимость, по сравнению с московскими, на порядок ниже, да и конкуренция пока невелика, так что денег на раскрутку понадобится куда меньше.	130:139	0:164
раскрутка	NOUN	1991-2017	2	раскрутка-7		Высокая удельная мощность маховичных двигателей позволяет набирать с места большую скорость, резвее двигаться в гору; при езде под уклон и торможении энергия не пропадает даром -- она частично "перекачивается" снова в маховик, как говорят, рекуперируется; зарядка -- раскрутка маховика -- производится гораздо быстрее, чем зарядка электроаккумуляторов.	267:276	0:352
раскрутка	NOUN	1918-1990	1	раскрутка-8		В результате работы BIOS осуществляется необходимая инициализация аппаратуры машины с последующим переходом к раскрутке операционной системы и запуску тестовых задач под ее управлением.	110:119	0:185
раскрутка	NOUN	1991-2017	2	раскрутка-9		Нет уж, порядочному человеку не нужна "раскрутка": быть собой -- самое великое счастье в жизнь.	39:48	0:95
раскрутка	NOUN	1918-1990	1	раскрутка-10		Да и удерживалась она недолго -- после раскрутки маховик вращался всего несколько часов, останавливаясь под воздействием всякого рода сопротивлений.	39:48	0:148
раскрутка	NOUN	1918-1990	1	раскрутка-11		В последние годы в США, ФРГ и Австрии можно увидеть экспериментальные гиробусы, проходящие по 10-15 км после раскрутки маховика.	109:118	0:128
раскрутка	NOUN	1991-2017	2	раскрутка-12		И они пускают в раскрутку до тошноты неприличную, сделанную совместно с Чичериной вещь -- "Мой рок-н-ролл".	16:25	0:107
раскрутка	NOUN	1991-2017	2	раскрутка-13		Нормальные отношения взрослых людей, которым незачем, да и некогда терять голову: Лайза Мария билась над записью первого в жизни альбома, а Николас занимался раскруткой фильма Windtalkers, где снялся в главной роли.	158:168	0:215
раскрутка	NOUN	1991-2017	2	раскрутка-14		Как видели у нас в Генштабе раскрутку аферы Просто: Главное контрольное управление при президенте передает выводы по проверке в Генпрокуратуру, та заводит уголовное дело, следует арест виновных, суд и точка.	28:37	0:207
раскрутка	NOUN	1991-2017	2	раскрутка-15		В антрактах между признаниями в любви он живо рисовал перспективы их будущей совместной жизни и все нахальней домогался денег, как он объяснял, на раскрутку.	147:156	0:157
раскрутка	NOUN	1991-2017	2	раскрутка-16		Молниеносная реакция Теперь вероятные кандидаты на всякий случай начинают свою политическую раскрутку задолго до дня голосования, опасаясь прозевать очередной демарш конкурента.	92:101	0:177
раскрутка	NOUN	1991-2017	2	раскрутка-17		А самым дотошным он может ответить, что деньги, выделенные на раскрутку фонда, пошли на благое дело.	62:71	0:100
раскрутка	NOUN	1918-1990	1	раскрутка-18		Но в результате такой раскрутки хозяева напугались и объявили, что предпочитают не рисковать игроками, и "если они не хотят ехать в Россию, мы их поддержим в этом желании".	22:31	0:172
раскрутка	NOUN	1991-2017	2	раскрутка-19		Без раскрутки мне, уволю!	4:13	0:25
раскрутка	NOUN	1918-1990	1	раскрутка-20		Ну-ка, давай ее на раскрутку, в круг!" Солдат выуживал из расщелин пилотки хрупкое до ломкости изображенье.	19:28	0:107
раскрутка	NOUN	1918-1990	1	раскрутка-21		При раскрутке они срывались и под действием инерции устремлялись к цели.	4:13	0:72
