lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рождество	NOUN	1918-1990	1	рождество-0		* * * Если премьера "Ночи перед рождеством" состоялась в январе 1936 года, то следующий спектакль с участием Реджи был показан, видимо, весной, в апреле, быть может.	32:42	0:165
рождество	NOUN	1918-1990	1	рождество-1		Еще перед рождеством из Новочеркасска послал я в Екатеринодар представителя нашей армии генерала Эрдели.	10:20	0:104
рождество	NOUN	1918-1990	1	рождество-2		-- Вы уж извините, но не куривши с самого рождества.	42:51	0:52
рождество	NOUN	1918-1990	1	рождество-3		На рождество во многих православных храмах России происходило так называемое "пещное действо"": амвон отодвигался в сторону, и на его месте строилась "пещь".	3:12	0:157
рождество	NOUN	1918-1990	1	рождество-4		-- Как дела Где был Как рождество провел Как отдохнул Как новый год встречать собираешься Тут Или поедешь Я вот в Тунис.	24:33	0:120
рождество	NOUN	1991-2017	2	рождество-5		Пробираясь сквозь сплошную завесу различных запахов, Митька дрожал ноздрями: валили с ног чад горячего воска, дух разопревших в поту бабьих тел, могильная вонь слежалых нарядов (тех, которые вынимаются из-под испода сундуков только на рождество да на пасху), разило мокрой обувной кожей, нафталином, выделениями говельщицких изголодавшихся желудков.	235:244	0:349
рождество	NOUN	1991-2017	2	рождество-6		РОЖДЕСТВО ХРИСТОВО Большинство христианских конфессий отмечают Рождество 25 декабря.	0:9	0:84
рождество	NOUN	1991-2017	2	рождество-7		Сегодня рождество, да..	8:17	0:23
рождество	NOUN	1918-1990	1	рождество-8		Рождество наступало.	0:9	0:20
рождество	NOUN	1918-1990	1	рождество-9		В Нахичевани, на рождестве 1919 года (или в январе 1920 года), у нас стоял во дворе броневой дивизион и мы каждый вечер поднимались на чердак и смотрели оттуда, как за городом, в степи, красные шли развернутой атакой на Батайск, падали и теряли коней и людей.	17:26	0:259
рождество	NOUN	1918-1990	1	рождество-10		Рождество пролетело, и в экстренном выпуске газета "Двина" сообщила однажды, что Япония напала на нас.	0:9	0:102
рождество	NOUN	1918-1990	1	рождество-11		Пособия выдавались три раза в год: перед Святой, к 30 августа и к Рождеству.	66:75	0:76
рождество	NOUN	1918-1990	1	рождество-12		А насчет Рождества -- есть одно Рождество -- христианское.	9:18	0:58
рождество	NOUN	1991-2017	2	рождество-13		-- Бывалоча, в старину до рождества в попасе.	26:35	0:45
рождество	NOUN	1991-2017	2	рождество-14		А параллельно, в трагедии, -- во дворце герцога Орсино -- репетировали к Рождеству Христовые мифы.	73:82	0:98
рождество	NOUN	1991-2017	2	рождество-15		-- Парни, рождество скоро, Пресвятой Богородицы!	10:19	0:48
рождество	NOUN	1991-2017	2	рождество-16		Будучи маленьким мальчиком, он любил слушать этот ветхозаветный эпизод, где любимый Богом царь Давид (живший приблизительно за тысячу лет до рождества Христова) совершил сразу несколько преступлений, чтобы завладеть понравившейся женщиной.	141:150	0:239
рождество	NOUN	1991-2017	2	рождество-17		-- Она ищет какое-то слово, всем словам слово, которое должно определить сущность этого дня, типа "день победы" или там "день рождества".	126:135	0:137
рождество	NOUN	1991-2017	2	рождество-18		В 361 году от рождества Христова, правитель Британии Максимиан Цезарь, решил отправиться в завоевательный поход.	14:23	0:112
рождество	NOUN	1991-2017	2	рождество-19		-- Какое еще рождество -- Оба.	13:22	0:30
рождество	NOUN	1918-1990	1	рождество-20		В год 1522 от рождества Христова, 6-го дня июня месяца, в моем присутствии, а также в присутствии члена инквизиционного трибунала Ремедиоса Гааза и писаря Иоганна Штаппера, нижеподписавшегося, явилась свидетельница Элизабет Гарс, жена Хуго Гарса по прозванию Божий Грош (Готтеспфеннинг), трактирщика, из города Раменсбурга, и была приведена к присяге на четырех Евангелиях.	14:23	0:373
рождество	NOUN	1991-2017	2	рождество-21		Собранного хлеба с оставшейся половины надела хватало только до рождества, и многие вынуждены были просить подаяния.	64:73	0:116
рождество	NOUN	1918-1990	1	рождество-22		В самый канун войны Крайнов написал мне из другого полушария, что надеется погостить в Москве близ рождества.	99:108	0:109
рождество	NOUN	1918-1990	1	рождество-23		Но именно чудо пребывания Божией Матери в рождестве и по рождестве Девой чаще всего в богослужении сопоставляется с теми частичными ветхозаветными преображениями тварного бытия, о которых была речь выше.	42:51	0:203
рождество	NOUN	1918-1990	1	рождество-24		Время и зимние морозы потушили непокорство, но для истории Иван Висковатый все же вынужден был оставить в летописи следующую цветистую запись, которую приказано было до Рождества читать глашатаям на всех собраниях и в церквях: "Мнози худоумные человецы или, прямо рещи, безумныя и тщедушныя, негодоваху и роптаху на самодержца своего, яко самому ему землю свою губящу и паче злее ратныхъ, и не щадящу, и не брегущу людей своихъ.	169:178	0:428
рождество	NOUN	1991-2017	2	рождество-25		-- Она была в той самой голубой кофточке, что я ей подарил на рождество.	62:71	0:72
