identifier1	identifier2	annotator	judgment	comment	lemma
рынок-20-13	рынок-21-13	annotator1	1		рынок
рынок-92-13	рынок-93-13	annotator1	4		рынок
рынок-28-13	рынок-29-13	annotator1	2		рынок
рынок-90-13	рынок-91-13	annotator1	3		рынок
рынок-88-13	рынок-89-13	annotator1	1		рынок
рынок-30-13	рынок-31-13	annotator1	1		рынок
рынок-86-13	рынок-87-13	annotator1	2		рынок
рынок-84-13	рынок-85-13	annotator1	4		рынок
рынок-32-13	рынок-33-13	annotator1	1		рынок
рынок-82-13	рынок-83-13	annotator1	1		рынок
рынок-12-13	рынок-13-13	annotator1	3		рынок
рынок-106-13	рынок-107-13	annotator1	1		рынок
рынок-34-13	рынок-35-13	annotator1	4		рынок
рынок-104-13	рынок-105-13	annotator1	1		рынок
рынок-102-13	рынок-103-13	annotator1	1		рынок
рынок-94-13	рынок-95-13	annotator1	1		рынок
рынок-40-13	рынок-41-13	annotator1	3		рынок
рынок-36-13	рынок-37-13	annotator1	3		рынок
рынок-54-13	рынок-55-13	annotator1	1		рынок
рынок-52-13	рынок-53-13	annotator1	3		рынок
рынок-10-13	рынок-11-13	annotator1	2		рынок
рынок-42-13	рынок-43-13	annotator1	1		рынок
рынок-8-13	рынок-9-13	annotator1	4		рынок
рынок-0-13	рынок-1-13	annotator1	4		рынок
рынок-44-13	рынок-45-13	annotator1	4		рынок
рынок-2-13	рынок-3-13	annotator1	4		рынок
рынок-4-13	рынок-5-13	annotator1	1		рынок
рынок-46-13	рынок-47-13	annotator1	1		рынок
рынок-6-13	рынок-7-13	annotator1	2		рынок
рынок-24-13	рынок-25-13	annotator1	4		рынок
рынок-48-13	рынок-49-13	annotator1	3		рынок
рынок-22-13	рынок-23-13	annotator1	1		рынок
рынок-50-13	рынок-51-13	annotator1	1		рынок
рынок-18-13	рынок-19-13	annotator1	4		рынок
рынок-16-13	рынок-17-13	annotator1	1		рынок
рынок-14-13	рынок-15-13	annotator1	4		рынок
рынок-100-13	рынок-101-13	annotator1	3		рынок
рынок-26-13	рынок-27-13	annotator1	1		рынок
рынок-98-13	рынок-99-13	annotator1	4		рынок
рынок-78-13	рынок-79-13	annotator1	1		рынок
рынок-66-13	рынок-67-13	annotator1	4		рынок
рынок-80-13	рынок-81-13	annotator1	1		рынок
рынок-112-13	рынок-113-13	annotator1	2		рынок
рынок-56-13	рынок-57-13	annotator1	2		рынок
рынок-76-13	рынок-77-13	annotator1	2		рынок
рынок-58-13	рынок-59-13	annotator1	2		рынок
рынок-118-13	рынок-119-13	annotator1	1		рынок
рынок-110-13	рынок-111-13	annotator1	1		рынок
рынок-74-13	рынок-75-13	annotator1	1		рынок
рынок-62-13	рынок-63-13	annotator1	4		рынок
рынок-68-13	рынок-69-13	annotator1	1		рынок
рынок-60-13	рынок-61-13	annotator1	2		рынок
рынок-64-13	рынок-65-13	annotator1	4		рынок
рынок-38-13	рынок-39-13	annotator1	1		рынок
рынок-72-13	рынок-73-13	annotator1	4		рынок
рынок-96-13	рынок-97-13	annotator1	1		рынок
рынок-70-13	рынок-71-13	annotator1	4		рынок
рынок-116-13	рынок-117-13	annotator1	1		рынок
рынок-114-13	рынок-115-13	annotator1	1		рынок
рынок-108-13	рынок-109-13	annotator1	4		рынок
рынок-2-13	рынок-3-13	annotator2	4		рынок
рынок-12-13	рынок-13-13	annotator2	1		рынок
рынок-74-13	рынок-75-13	annotator2	1		рынок
рынок-68-13	рынок-69-13	annotator2	1		рынок
рынок-24-13	рынок-25-13	annotator2	3		рынок
рынок-8-13	рынок-9-13	annotator2	4		рынок
рынок-20-13	рынок-21-13	annotator2	3		рынок
рынок-6-13	рынок-7-13	annotator2	3		рынок
рынок-76-13	рынок-77-13	annotator2	2		рынок
рынок-22-13	рынок-23-13	annotator2	1		рынок
рынок-0-13	рынок-1-13	annotator2	3		рынок
рынок-10-13	рынок-11-13	annotator2	3		рынок
рынок-78-13	рынок-79-13	annotator2	1		рынок
рынок-72-13	рынок-73-13	annotator2	3		рынок
рынок-54-13	рынок-55-13	annotator2	3		рынок
рынок-60-13	рынок-61-13	annotator2	1		рынок
рынок-100-13	рынок-101-13	annotator2	4		рынок
рынок-96-13	рынок-97-13	annotator2	1		рынок
рынок-102-13	рынок-103-13	annotator2	2		рынок
рынок-80-13	рынок-81-13	annotator2	3		рынок
рынок-94-13	рынок-95-13	annotator2	3		рынок
рынок-104-13	рынок-105-13	annotator2	1		рынок
рынок-64-13	рынок-65-13	annotator2	4		рынок
рынок-82-13	рынок-83-13	annotator2	2		рынок
рынок-62-13	рынок-63-13	annotator2	4		рынок
рынок-18-13	рынок-19-13	annotator2	4		рынок
рынок-84-13	рынок-85-13	annotator2	4		рынок
рынок-88-13	рынок-89-13	annotator2	2		рынок
рынок-58-13	рынок-59-13	annotator2	1		рынок
рынок-90-13	рынок-91-13	annotator2	4		рынок
рынок-56-13	рынок-57-13	annotator2	1		рынок
