lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рынок	NOUN	1991-2017	2	рынок-0		"Какой смысл наступать друг другу на пятки" -- Можно ли сказать, что в Самарской области дилерами зарубежных автоконцернов стали те, кто начал свой бизнес с торговли автомобилями ВАЗ Или же были исключения, когда фирмы сразу вышли на рынок иномарок -- Таких примеров немного, но они есть -- "Премьера", "Влако", "АвтоПоволжье".	234:239	0:327
рынок	NOUN	1991-2017	2	рынок-1		Также встраиваемые системы Microsoft приобретают популярность у компаний, работающих в таком секторе рынка интеллектуальных зданий, как коттеджи, квартиры и небольшие офисы.	101:106	0:173
рынок	NOUN	1918-1990	1	рынок-2		-- А я на рынке разглашу, что веснухи твои поддельные, и никто не станет покупать.	10:15	0:82
рынок	NOUN	1918-1990	1	рынок-3		Осень не уничтожила их искусства: цветов было так много, груды их были так огромны и великолепны, что рынок походил на фантастический сад, усеянный яркими клумбами, -- делом рук великого садовника, обезумевшего в неудержимой щедрости.	102:107	0:234
рынок	NOUN	1918-1990	1	рынок-4		-- Как меняется конкурентное поле на рынке дорожного строительства Сибири Только ли цена гарантирует получение подряда -- Конкуренция меняется значительно.	37:42	0:155
рынок	NOUN	1991-2017	2	рынок-5		Несмотря на то, что в годы войны враг всячески пытался подорвать нашу экономику, фабрикуя в огромных количествах фальшивые советские денежные знаки, и способствовал тем самым временному оживлению на бывшей оккупированной территории черного рынка и спекуляции, партия и правительство, в интересах рабочего класса, колхозного крестьянства, а также всех трудящихся, сделали все необходимое, чтобы сохранить на прежнем, довоенном уровне заработную плату и цены на товары широкого потребления и, одновременно, сочли возможным произвести обмен денег в соотношении десять старых рублей за один новый рубль.	240:245	0:599
рынок	NOUN	1918-1990	1	рынок-6		-- Не знаю, в курсе ли ты, -- Армен начал с систематизации, -- что, помимо ученых, коммерсантов и работяг, в Москве оказалось очень много армянских компьютерщиков, поскольку на компьютерном рынке и спрос высокий, и зарплата более адекватная.	190:195	0:241
рынок	NOUN	1991-2017	2	рынок-7		На капиталистическом рынке продаем товары, которые являются побочными в пищевой промышленности, а также товары тибетской медицины -- панты марала, северного и пятнистого оленя.	21:26	0:176
рынок	NOUN	1918-1990	1	рынок-8		-- Ну, я дальше поеду, мне до рынка надо.	30:35	0:41
рынок	NOUN	1918-1990	1	рынок-9		-- На Птичий рынок.	13:18	0:19
