identifier1	identifier2	annotator	judgment	comment	lemma
рыночный-0	рыночный-1	annotator1	2		рыночный
рыночный-0	рыночный-1	annotator2	4		рыночный
рыночный-0	рыночный-1	annotator3	3		рыночный
рыночный-0	рыночный-1	annotator4	3		рыночный
рыночный-0	рыночный-1	annotator5	4		рыночный
рыночный-2	рыночный-3	annotator1	1		рыночный
рыночный-2	рыночный-3	annotator2	2		рыночный
рыночный-2	рыночный-3	annotator3	1		рыночный
рыночный-2	рыночный-3	annotator4	4		рыночный
рыночный-2	рыночный-3	annotator5	3		рыночный
рыночный-4	рыночный-5	annotator1	1		рыночный
рыночный-4	рыночный-5	annotator2	4		рыночный
рыночный-4	рыночный-5	annotator3	3		рыночный
рыночный-4	рыночный-5	annotator4	4		рыночный
рыночный-4	рыночный-5	annotator5	4		рыночный
рыночный-6	рыночный-7	annotator1	1		рыночный
рыночный-6	рыночный-7	annotator2	2		рыночный
рыночный-6	рыночный-7	annotator3	1		рыночный
рыночный-6	рыночный-7	annotator4	1		рыночный
рыночный-6	рыночный-7	annotator5	1		рыночный
рыночный-8	рыночный-9	annotator1	4		рыночный
рыночный-8	рыночный-9	annotator2	3		рыночный
рыночный-8	рыночный-9	annotator3	4		рыночный
рыночный-8	рыночный-9	annotator4	4		рыночный
рыночный-8	рыночный-9	annotator5	4		рыночный
рыночный-10	рыночный-11	annotator1	1		рыночный
рыночный-10	рыночный-11	annotator2	4		рыночный
рыночный-10	рыночный-11	annotator3	4		рыночный
рыночный-10	рыночный-11	annotator4	4		рыночный
рыночный-10	рыночный-11	annotator5	4		рыночный
рыночный-12	рыночный-13	annotator1	4		рыночный
рыночный-12	рыночный-13	annotator2	4		рыночный
рыночный-12	рыночный-13	annotator3	4		рыночный
рыночный-12	рыночный-13	annotator4	4		рыночный
рыночный-12	рыночный-13	annotator5	4		рыночный
рыночный-14	рыночный-15	annotator1	1		рыночный
рыночный-14	рыночный-15	annotator2	1		рыночный
рыночный-14	рыночный-15	annotator3	2		рыночный
рыночный-14	рыночный-15	annotator4	1		рыночный
рыночный-14	рыночный-15	annotator5	1		рыночный
рыночный-16	рыночный-17	annotator1	4		рыночный
рыночный-16	рыночный-17	annotator2	2		рыночный
рыночный-16	рыночный-17	annotator3	3		рыночный
рыночный-16	рыночный-17	annotator4	3		рыночный
рыночный-16	рыночный-17	annotator5	4		рыночный
рыночный-18	рыночный-19	annotator1	4		рыночный
рыночный-18	рыночный-19	annotator2	3		рыночный
рыночный-18	рыночный-19	annotator3	4		рыночный
рыночный-18	рыночный-19	annotator4	4		рыночный
рыночный-18	рыночный-19	annotator5	4		рыночный
рыночный-20	рыночный-21	annotator1	3		рыночный
рыночный-20	рыночный-21	annotator2	3		рыночный
рыночный-20	рыночный-21	annotator3	4		рыночный
рыночный-20	рыночный-21	annotator4	4		рыночный
рыночный-20	рыночный-21	annotator5	2		рыночный
рыночный-22	рыночный-23	annotator1	4		рыночный
рыночный-22	рыночный-23	annotator2	4		рыночный
рыночный-22	рыночный-23	annotator3	4		рыночный
рыночный-22	рыночный-23	annotator4	4		рыночный
рыночный-22	рыночный-23	annotator5	4		рыночный
рыночный-24	рыночный-25	annotator1	4		рыночный
рыночный-24	рыночный-25	annotator2	4		рыночный
рыночный-24	рыночный-25	annotator3	3		рыночный
рыночный-24	рыночный-25	annotator4	4		рыночный
рыночный-24	рыночный-25	annotator5	4		рыночный
рыночный-26	рыночный-27	annotator1	4		рыночный
рыночный-26	рыночный-27	annotator2	4		рыночный
рыночный-26	рыночный-27	annotator3	4		рыночный
рыночный-26	рыночный-27	annotator4	4		рыночный
рыночный-26	рыночный-27	annotator5	4		рыночный
рыночный-28	рыночный-29	annotator1	2		рыночный
рыночный-28	рыночный-29	annotator2	4		рыночный
рыночный-28	рыночный-29	annotator3	4		рыночный
рыночный-28	рыночный-29	annotator4	3		рыночный
рыночный-28	рыночный-29	annotator5	4		рыночный
рыночный-30	рыночный-31	annotator1	2		рыночный
рыночный-30	рыночный-31	annotator2	3		рыночный
рыночный-30	рыночный-31	annotator3	1		рыночный
рыночный-30	рыночный-31	annotator4	1		рыночный
рыночный-30	рыночный-31	annotator5	2		рыночный
рыночный-32	рыночный-33	annotator1	1		рыночный
рыночный-32	рыночный-33	annotator2	1		рыночный
рыночный-32	рыночный-33	annotator3	1		рыночный
рыночный-32	рыночный-33	annotator4	3		рыночный
рыночный-32	рыночный-33	annotator5	2		рыночный
рыночный-34	рыночный-35	annotator1	1		рыночный
рыночный-34	рыночный-35	annotator2	1		рыночный
рыночный-34	рыночный-35	annotator3	1		рыночный
рыночный-34	рыночный-35	annotator4	1		рыночный
рыночный-34	рыночный-35	annotator5	1		рыночный
рыночный-36	рыночный-37	annotator1	3		рыночный
рыночный-36	рыночный-37	annotator2	2		рыночный
рыночный-36	рыночный-37	annotator3	1		рыночный
рыночный-36	рыночный-37	annotator4	1		рыночный
рыночный-36	рыночный-37	annotator5	3		рыночный
рыночный-38	рыночный-39	annotator1	2		рыночный
рыночный-38	рыночный-39	annotator2	2		рыночный
рыночный-38	рыночный-39	annotator3	2		рыночный
рыночный-38	рыночный-39	annotator4	1		рыночный
рыночный-38	рыночный-39	annotator5	1		рыночный
рыночный-40	рыночный-41	annotator1	1		рыночный
рыночный-40	рыночный-41	annotator2	2		рыночный
рыночный-40	рыночный-41	annotator3	3		рыночный
рыночный-40	рыночный-41	annotator4	2		рыночный
рыночный-40	рыночный-41	annotator5	3		рыночный
рыночный-42	рыночный-43	annotator1	3		рыночный
рыночный-42	рыночный-43	annotator2	3		рыночный
рыночный-42	рыночный-43	annotator3	4		рыночный
рыночный-42	рыночный-43	annotator4	3		рыночный
