identifier1	identifier2	annotator	judgment	comment	lemma
собака-0	собака-1	annotator1	3		собака
собака-0	собака-1	annotator2	4		собака
собака-0	собака-1	annotator3	3		собака
собака-0	собака-1	annotator4	4		собака
собака-0	собака-1	annotator5	1		собака
собака-2	собака-3	annotator1	1		собака
собака-2	собака-3	annotator2	1		собака
собака-2	собака-3	annotator3	1		собака
собака-2	собака-3	annotator4	4		собака
собака-2	собака-3	annotator5	4		собака
собака-4	собака-5	annotator1	4		собака
собака-4	собака-5	annotator2	4		собака
собака-4	собака-5	annotator3	3		собака
собака-4	собака-5	annotator4	3		собака
собака-4	собака-5	annotator5	4		собака
собака-6	собака-7	annotator1	1		собака
собака-6	собака-7	annotator2	1		собака
собака-6	собака-7	annotator3	1		собака
собака-6	собака-7	annotator4	4		собака
собака-6	собака-7	annotator5	3		собака
собака-8	собака-9	annotator1	1		собака
собака-8	собака-9	annotator2	1		собака
собака-8	собака-9	annotator3	1		собака
собака-8	собака-9	annotator4	1		собака
собака-8	собака-9	annotator5	1		собака
собака-10	собака-11	annotator1	4		собака
собака-10	собака-11	annotator2	4		собака
собака-10	собака-11	annotator3	4		собака
собака-10	собака-11	annotator4	4		собака
собака-10	собака-11	annotator5	3		собака
собака-12	собака-13	annotator1	3		собака
собака-12	собака-13	annotator2	1		собака
собака-12	собака-13	annotator3	4		собака
собака-12	собака-13	annotator4	4		собака
собака-12	собака-13	annotator5	4		собака
собака-14	собака-15	annotator1	4		собака
собака-14	собака-15	annotator2	4		собака
собака-14	собака-15	annotator3	4		собака
собака-14	собака-15	annotator4	4		собака
собака-14	собака-15	annotator5	4		собака
собака-16	собака-17	annotator1	4		собака
собака-16	собака-17	annotator2	4		собака
собака-16	собака-17	annotator3	4		собака
собака-16	собака-17	annotator4	4		собака
собака-16	собака-17	annotator5	4		собака
собака-18	собака-19	annotator1	4		собака
собака-18	собака-19	annotator2	4		собака
собака-18	собака-19	annotator3	4		собака
собака-18	собака-19	annotator4	4		собака
собака-18	собака-19	annotator5	4		собака
собака-20	собака-21	annotator1	4		собака
собака-20	собака-21	annotator2	4		собака
собака-20	собака-21	annotator3	4		собака
собака-20	собака-21	annotator4	4		собака
собака-20	собака-21	annotator5	4		собака
собака-22	собака-23	annotator1	4		собака
собака-22	собака-23	annotator2	4		собака
собака-22	собака-23	annotator3	1		собака
