lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
собака	NOUN	1918-1990	1	собака-0		"Усыпили как собаку", -- успела подумать Вера, и все исчезло.	13:19	0:61
собака	NOUN	1991-2017	2	собака-1		Упросили повара, кормившего какую-то военную часть, давать им остатки от обеда -- для собаки.	86:92	0:93
собака	NOUN	1918-1990	1	собака-2		(Мои попытки писать в модном духе ограничились несколькими стишками.) Всех этих поэтов я знал лично, встречался в "Бродячей собаке", в "Стойле Пегаса" и в "Домино", где в закулисной комнате восседали и спорили о достоинствах русской речи поэт-математик Сергей Павлович Бобров, с которым мне пришлось впоследствии часто общаться и даже сотрудничать, и литературовед Дмитрий Дмитриевич Благой.	124:130	0:391
собака	NOUN	1918-1990	1	собака-3		Так, ни одна собака в мире не считает обыкновенную преданность чем-то необычным.	13:19	0:80
собака	NOUN	1918-1990	1	собака-4		-- Ба-акся! -- нагнулась к собаке дочь, но пошатнулась и чуть не упала.	27:33	0:71
собака	NOUN	1991-2017	2	собака-5		Вы очень интересно про собак рассуждали.	23:28	0:40
собака	NOUN	1918-1990	1	собака-6		-- Врешь как собака, знаем мы эти гулянья.	13:19	0:42
собака	NOUN	1918-1990	1	собака-7		Собаки было бросились на нее, а она как ударит их лапой во всю свою лошадиную силу.	0:6	0:83
собака	NOUN	1918-1990	1	собака-8		-- Ему еще в Храпунове надо было выходить, этому Герцену, а он все едет, собака.	73:79	0:80
собака	NOUN	1918-1990	1	собака-9		Он напоминал сейчас собаку, подбирающуюся к камышам, в которых засели утки.	20:26	0:75
собака	NOUN	1918-1990	1	собака-10		-- Кинулись рвать, как свора собак.	29:34	0:35
собака	NOUN	1918-1990	1	собака-11		Встречая Филю, они не гнались за ним, как поступили бы нормальные, уважающие традиции собаки, а только значительно, степенно поджимали губы.	86:92	0:140
собака	NOUN	1918-1990	1	собака-12		-- Сержант, кто таскает кур с хозбазы -- Наверное, енотовидная собака, товарищ майор.	63:69	0:85
собака	NOUN	1918-1990	1	собака-13		Мочалка болтается пустая, а собака последнюю, розовую Павликову бараночку доедает, облизывается.	28:34	0:96
собака	NOUN	1918-1990	1	собака-14		-- вдалеке злобно гавкают собаки.	26:32	0:33
собака	NOUN	1991-2017	2	собака-15		Бедная ты, никому давно не нужная аллея, все зовешь к сгоревшему дому, точно верная, глупая собака, которая все сидит на берегу и неотступно смотрит в воду -- сторожит одежду давно утонувшего хозяина.	92:98	0:200
собака	NOUN	1991-2017	2	собака-16		-- сказала Дина, нагнулась и погладила собаку.	39:45	0:46
собака	NOUN	1991-2017	2	собака-17		На фоне тумана совершенно черными казались расставленные криво избы деревни, там было сонно и тихо, только время от времени во сне мычали коровы и ни с того ни с сего, а может быть, что-то предчувствуя, взбрехивали и выли собаки.	222:228	0:229
собака	NOUN	1918-1990	1	собака-18		. Здравствуй, белая собака.	20:26	0:27
собака	NOUN	1918-1990	1	собака-19		Обычно хозяева хвалят своих собак.	28:33	0:34
собака	NOUN	1918-1990	1	собака-20		Собака пошла по дорожке к калитке.	0:6	0:34
собака	NOUN	1991-2017	2	собака-21		Я даже собаку не могу завести, днем ее некому будет выводить.	7:13	0:61
собака	NOUN	1918-1990	1	собака-22		Собаки поравнялись с ними.	0:6	0:26
собака	NOUN	1918-1990	1	собака-23		Эта победа над хамом в общем моем деле писателя -- плохая победа: в одну собаку камень хорошо попал, но она завизжала и созвала целую стаю других.	73:79	0:146
собака	NOUN	1991-2017	2	собака-24		Собаки присматривали, чтобы они не уходили далеко в лес.	0:6	0:56
собака	NOUN	1991-2017	2	собака-25		Оба дракона неожиданно выпустили друг друга и уныло прижались к земле, точно напуганные собаки.	88:94	0:95
собака	NOUN	1991-2017	2	собака-26		А потом собака услышала приближающиеся приглушенные туманом голоса.	8:14	0:67
