lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
сомнение	NOUN	1918-1990	1	сомнение-0		-- А со мной Славка посмотрел на Тима с сомнением.	40:49	0:50
сомнение	NOUN	1918-1990	1	сомнение-1		Сомнения в правильности сделанного им заставляют психастеника вновь переделывать то, что он только что сделал; недоверие к самому себе, к своим силам заставляет его обращаться к другим или за помощью, или хотя бы за тем, чтобы его успокоили, чтобы ему сказали, что беспокоиться, волноваться нет решительно никаких оснований.	0:8	0:324
сомнение	NOUN	1991-2017	2	сомнение-2		-- Нет, не вижу, -- в сомнении пробормотала я, -- не понимаю.	22:30	0:61
сомнение	NOUN	1991-2017	2	сомнение-3		Сомнений нет: теперь в синей "волге" знают, куда мы едем.	0:8	0:57
сомнение	NOUN	1991-2017	2	сомнение-4		-- Почему ты замолчала -- Я стараюсь припомнить, когда германка-челядинка из земли пруссов высказала мне свои сомнения.	110:118	0:119
сомнение	NOUN	1991-2017	2	сомнение-5		Ну, еще что-нибудь -- Она еврейка -- с сомнением спросил Иуда.	39:48	0:62
сомнение	NOUN	1918-1990	1	сомнение-6		-- Успеют ли депутаты, занятые больше перевыборами, чем законотворчеством, принять бюджет в установленный срок или же страна вступит в 2004 год без главного финансового плана -- Успеем, в этом нет никаких сомнений.	205:213	0:214
сомнение	NOUN	1991-2017	2	сомнение-7		Нессельродиха очень милостиво мне поклонилась, из чего я заключил, что моя служба, моя свадьба, моя судьба больше не вызывает сомнений у этих людей и я уже числюсь в их списках прощенным и обласканным.	126:134	0:201
сомнение	NOUN	1918-1990	1	сомнение-8		Сомнений быть не могло: кто-то караулил меня у подножия сопки.	0:8	0:62
сомнение	NOUN	1918-1990	1	сомнение-9		Не много дней прошло с того момента, но он уже не один раз спрашивал себя: что заставило его встать на колени именно пред нею И этот вопрос будил в нем сомнения в действительной силе чувства, которым он так возгордился несколько дней тому назад.	152:160	0:245
сомнение	NOUN	1918-1990	1	сомнение-10		А я со своею книгой -- ну не жалкая ли я личность должно быть испытано самым глубоким сомнением, и если оно все-таки желает продолжаться, то должно найти себе оправдание.	86:95	0:170
сомнение	NOUN	1991-2017	2	сомнение-11		И вот, среди этих пояснений, забыв, что я имею дело с человеком почти первобытным, я в пылу доказательств произнес фразу, которая еще больше сгустила над нами тучи: -- Да поймите же, товарищ Сайрио, что здесь нет и тени сомнения в вашей честности.	220:228	0:247
сомнение	NOUN	1918-1990	1	сомнение-12		Без сомнения она хорошо знает запах бекаса и на следах начинает приискивать, но потяжки и признака нет, бекас улетает, а она разбирается в следах и ей он сам ни к чему.	4:12	0:168
сомнение	NOUN	1918-1990	1	сомнение-13		Участковый был спокоен, но он все-таки производил впечатление человека, который понял еще не все, терзается сомнениями и, говоря утвердительное, все ждет подтверждения собеседника.	108:118	0:180
