lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
стаканчик	NOUN	1918-1990	1	стаканчик-0		-- А кто вы -- спросил я, недоверчиво принимая стаканчик.	47:56	0:57
стаканчик	NOUN	1918-1990	1	стаканчик-1		Так как же делают "хохлому" Будущий расписной стаканчик, ложку, бочонок и т.д. вырезают вручную или вытачивают на токарном станке из липы или березы, тщательно (10-15 дней) сушат и затем начинают готовить под роспись.	46:55	0:217
стаканчик	NOUN	1991-2017	2	стаканчик-2		-- Вы о себе слишком высокого мнения, -- Деби залпом опрокинула бумажный стаканчик.	73:82	0:83
стаканчик	NOUN	1991-2017	2	стаканчик-3		Она вынула из кармана необъятного передника чистый стаканчик в салфетке и протянула его Бати, а грязный спрятала в передник.	51:60	0:124
стаканчик	NOUN	1991-2017	2	стаканчик-4		-- Вы чего-то напутали, Василий Васильевич, -- сказала Алла Александровна, опорожнив еще стаканчик.	89:98	0:99
стаканчик	NOUN	1991-2017	2	стаканчик-5		Мы с Билли взяли по куску сочащегося мяса на кукурузном листе с гарниром из молодой кукурузы с куском кукурузной лепешки и по стаканчику кукурузного виски.	126:136	0:155
стаканчик	NOUN	1918-1990	1	стаканчик-6		-- За стаканчик почасту держаться стал.	6:15	0:39
стаканчик	NOUN	1918-1990	1	стаканчик-7		Петр Павлович встал, подсел к столу, выпил стаканчик водки и попросил сыновей Виктора и Юрия, чтобы они спели песню "В низенькой светелке огонек горит.	43:52	0:151
стаканчик	NOUN	1918-1990	1	стаканчик-8		-- Интервью уже закончилось, -- сказал Кавабата, наливая в стаканчики.	59:69	0:70
стаканчик	NOUN	1991-2017	2	стаканчик-9		Он тут же смутился и поддал сандалией пустой стаканчик из-под мороженого.	45:54	0:73
стаканчик	NOUN	1991-2017	2	стаканчик-10		-- Снимем напряг, братан! -- хлопнул он по плечу Седьмого и тоже подхватил стаканчик с виски, опрокинул его в рот и повернулся к подошедшему Шестому: -- Понимаешь, Шестой, ты -- работяга!	75:84	0:187
стаканчик	NOUN	1991-2017	2	стаканчик-11		Как бумажный стаканчик.	13:22	0:23
стаканчик	NOUN	1918-1990	1	стаканчик-12		-- Хотите стаканчик, эфенди -- предложил бармен за выносной стойкой.	10:19	0:68
стаканчик	NOUN	1991-2017	2	стаканчик-13		Еремей благословил по стаканчику.	22:32	0:33
стаканчик	NOUN	1918-1990	1	стаканчик-14		Стаканчик винца.	0:9	0:16
стаканчик	NOUN	1918-1990	1	стаканчик-15		Андрей с удовольствием выпил два стаканчика-колпачка.	33:51	0:53
стаканчик	NOUN	1991-2017	2	стаканчик-16		В стихотворении был легкий иронический пассаж о том, как скучающие пассажиры в темных очках с белыми оправами бросали в Москву-реку пустые бумажные стаканчики из-под мороженого.	148:158	0:177
стаканчик	NOUN	1991-2017	2	стаканчик-17		Туземцы кинулись стаканчики подбирать.	17:27	0:38
стаканчик	NOUN	1918-1990	1	стаканчик-18		В тетрадке когда-то написал: "Обидно только, что в день моей смерти ничего не изменится и не произойдет, на станции будут точно так же продавать жареные семечки, доставать из мешка маленький стаканчик с горкой и высыпать в оттопыренный карман.	191:200	0:243
