identifier1	identifier2	annotator	judgment	comment	lemma
стачка-108-13	стачка-109-13	annotator1	4		стачка
стачка-8-13	стачка-9-13	annotator1	4		стачка
стачка-10-13	стачка-11-13	annotator1	4		стачка
стачка-112-13	стачка-113-13	annotator1	4		стачка
стачка-32-13	стачка-33-13	annotator1	4		стачка
стачка-114-13	стачка-115-13	annotator1	1		стачка
стачка-56-13	стачка-57-13	annotator1	4		стачка
стачка-116-13	стачка-117-13	annotator1	1		стачка
стачка-18-13	стачка-19-13	annotator1	4		стачка
стачка-118-13	стачка-119-13	annotator1	1		стачка
стачка-52-13	стачка-53-13	annotator1	4		стачка
стачка-50-13	стачка-51-13	annotator1	4		стачка
стачка-92-13	стачка-93-13	annotator1	4		стачка
стачка-78-13	стачка-79-13	annotator1	4		стачка
стачка-64-13	стачка-65-13	annotator1	2		стачка
стачка-76-13	стачка-77-13	annotator1	4		стачка
стачка-62-13	стачка-63-13	annotator1	1		стачка
стачка-74-13	стачка-75-13	annotator1	4		стачка
стачка-12-13	стачка-13-13	annotator1	4		стачка
стачка-110-13	стачка-111-13	annotator1	4		стачка
стачка-14-13	стачка-15-13	annotator1	4		стачка
стачка-106-13	стачка-107-13	annotator1	3		стачка
стачка-24-13	стачка-25-13	annotator1	4		стачка
стачка-20-13	стачка-21-13	annotator1	2		стачка
стачка-30-13	стачка-31-13	annotator1	2		стачка
стачка-22-13	стачка-23-13	annotator1	4		стачка
стачка-28-13	стачка-29-13	annotator1	4		стачка
стачка-66-13	стачка-67-13	annotator1	3		стачка
стачка-26-13	стачка-27-13	annotator1	4		стачка
стачка-104-13	стачка-105-13	annotator1	4		стачка
стачка-60-13	стачка-61-13	annotator1	2		стачка
стачка-16-13	стачка-17-13	annotator1	4		стачка
стачка-6-13	стачка-7-13	annotator1	4		стачка
стачка-100-13	стачка-101-13	annotator1	4		стачка
стачка-4-13	стачка-5-13	annotator1	2		стачка
стачка-98-13	стачка-99-13	annotator1	4		стачка
стачка-2-13	стачка-3-13	annotator1	4		стачка
стачка-96-13	стачка-97-13	annotator1	4		стачка
