lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
стачка	NOUN	1918-1990	1	стачка-0		-- Ведь они срывают стачки, они сорвали, например, всеобщую забастовку, они идут на компромиссы с предпринимателями, одним словом -- они предатели рабочего класса Не так ли Не лучше ли наша советская система, где каждый волен выбрать кого хочет, где рабочий имеет право критиковать, где самая широкая демократия.	20:26	0:312
стачка	NOUN	1918-1990	1	стачка-1		Они бросали работу, то-есть объявляли стачку, забастовку.	38:44	0:57
стачка	NOUN	1918-1990	1	стачка-2		-- Имеется в виду Манифест 17 октября 1905 г. ("Об усовершенствовании государственного порядка"), подписанный Николаем II в момент наивысшего подъема всероссийской политической стачки.	177:183	0:184
стачка	NOUN	1991-2017	2	стачка-3		На опыте морозовской и других стачек рабочие поняли, что они многого могут добиться организованной борьбой.	30:36	0:107
стачка	NOUN	1991-2017	2	стачка-4		-- Ну, что, будешь писать статью про Петровича -- спросил Неня меня, когда мы размеренно въезжали на проспект Стачек со стороны Нарвских ворот из Ленинского переулка, где он жил с Ларисой сразу после женитьбы.	110:116	0:209
стачка	NOUN	1991-2017	2	стачка-5		Всероссийская политическая стачка.	27:33	0:34
стачка	NOUN	1918-1990	1	стачка-6		-- Про стачку морозовскую.	7:13	0:26
стачка	NOUN	1918-1990	1	стачка-7		Официальные лидеры английского социализма отнеслись к ней, как к фантазии иностранца, который не знает английских условий и мечтает перенести на почву великобританских островов "русскую" всеобщую стачку.	196:202	0:203
стачка	NOUN	1918-1990	1	стачка-8		-- Фрунзе Михаил Васильевич (1855-1925), член РСДРП с 1904 г., руководитель Иваново-Вознесенской стачки (1905), дважды приговаривался к смертной казни (1909-10).	97:103	0:161
стачка	NOUN	1991-2017	2	стачка-9		В борьбе "рабочих" и "хозяев", по мысли Сергея Михайловича, получают зримое выражение образцы действий рабочего коллектива и коллектива хозяев, показывается техника стачки и таким образом раскрывается ее производственная сущность.	165:171	0:230
стачка	NOUN	1991-2017	2	стачка-10		16 января 1991 г. Сегодня в Питере была политическая стачка на более чем трехстах предприятиях (2 часа, кое-где меньше).	53:59	0:120
стачка	NOUN	1991-2017	2	стачка-11		Создавайте региональные фонды Всероссийской политической стачки.	57:63	0:64
стачка	NOUN	1918-1990	1	стачка-12		Стачка на Ново-Бумагопрядильной фабрике в 1879 г.	0:6	0:49
