lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
стиль	NOUN	1918-1990	1	стиль-0		-- Всему виной эта нелепая мода, этот подростковый стиль, это поветрие на все броское.	51:56	0:86
стиль	NOUN	1918-1990	1	стиль-1		Наркомлегпром не сумлъ подойти къ созданiю на своихъ предпрiятiяхъ подлинно-культурнаго стиля работы, не поднялъ качества руководства.	88:93	0:134
стиль	NOUN	1918-1990	1	стиль-2		-- Вы не боитесь, что верность классическому стилю вас когда-нибудь подведет и конкуренты вас обгонят, предложив покупателю авангардные решения На нижегородский мебельный рынок вот-вот придет "Икея".	45:50	0:199
стиль	NOUN	1991-2017	2	стиль-3		Можно лишь подражать ему, каламбуря на других, соседних словах и создавая речевые образы, близкие к значению и стилю оригинала.	111:116	0:127
стиль	NOUN	1918-1990	1	стиль-4		Gero von Wilpert, Sachworterbuch der Literatur, Stuttgart 1961, S. 595--597, этапы развития стиля.	92:97	0:98
стиль	NOUN	1918-1990	1	стиль-5		Так, например, старый перевод "Троянской истории" заменяется позднейшим, сделанным с латинской обработки Гвидо де Колумна, написанной в стиле рыцарских повестей и художественно украшенной.	136:141	0:188
стиль	NOUN	1918-1990	1	стиль-6		А что там куда полетит или не полетит, на кой все эти бураны, венеры или фобосы нужны для смысла жизни, для человечества, прости за стиль, -- ему на фиг не было нужно разбираться.	132:137	0:179
стиль	NOUN	1991-2017	2	стиль-7		Следить за дыханием -- во-первых, и стилем -- во-вторых.	36:42	0:56
стиль	NOUN	1918-1990	1	стиль-8		Беседуя в стиле "Сам дурак!	10:15	0:27
стиль	NOUN	1991-2017	2	стиль-9		Этот стиль держится еще в 60-х годах, хотя с 50-х годов ему на смену выступает новый "стиль", "Викториэн" (Victorian).	5:10	0:118
стиль	NOUN	1918-1990	1	стиль-10		В Бучалках в 1900 г. родилась дочь Александра, в 1901-м сын Владимир, в Епифани в 1904-м родилась дочь Софья, в Москве в 1906-м дочь Евгения; в 1909 г. 1 марта по старому стилю родился я.	171:176	0:187
стиль	NOUN	1918-1990	1	стиль-11		Обвинение несправедливое: они субъективны по крайнему своеобразию мысли и стиля, не в меньшей степени, чем своеобразен был голос, произносивший их.	74:79	0:147
стиль	NOUN	1991-2017	2	стиль-12		В бане было освещено справа от входа только одно окно, над которым болтался подвесной фонарь в стиле ретро.	95:100	0:107
стиль	NOUN	1991-2017	2	стиль-13		Теперь, задним числом, можно рассуждать о том, что Морозевича стоило уговорить на поступок в стиле Фишера -- сесть на доску пониже.	93:98	0:131
стиль	NOUN	1918-1990	1	стиль-14		В момент творческого напряжения, который наблюдался на воскресном показе в Большом, эти пермские приметы укрупняются, что интересно для знатоков стиля и похвально для пермяков.	145:150	0:176
стиль	NOUN	1991-2017	2	стиль-15		Я решил, что это и мой стиль, и несколько лет спустя, когда представилась возможность, приобрел-таки серый в елочку твидовый пиджак, темно-серые фланелевые брюки, серые же в рубец шерстяные носки и черные полуботинки, плотные с широкими носами -- "стиль америкэн", галстук с диагональными полосами и рубашку "баттон-даун" (воротничок с пуговицами).	23:28	0:348
стиль	NOUN	1991-2017	2	стиль-16		Взгляните на стиль новых журналов, родившихся в последнее время.	13:18	0:64
стиль	NOUN	1991-2017	2	стиль-17		Водка, икра, балалайка в меньшей мере создавали настроение и стиль, нежели дефиле Марии Феликс в роскошной накидке из разноцветной норки с инкрустацией в виде ацтекских масок и оторочкой из черного соболя.	61:66	0:205
стиль	NOUN	1918-1990	1	стиль-18		Во-вторых, дизайн в "исламском стиле" стремительно входит в моду даже в северных широтах.	31:36	0:89
стиль	NOUN	1991-2017	2	стиль-19		Сыплет сентенциями: "В архитектуре признаю только готику и греческий стиль.	69:74	0:75
стиль	NOUN	1918-1990	1	стиль-20		Все худшие стороны стиля Леонида Андреева были доведены здесь до крайних пределов.	19:24	0:82
