identifier1	identifier2	annotator	judgment	comment	lemma
удвоение-0	удвоение-1	annotator1	1		удвоение
удвоение-0	удвоение-1	annotator2	1		удвоение
удвоение-0	удвоение-1	annotator3	4		удвоение
удвоение-0	удвоение-1	annotator4	1		удвоение
удвоение-0	удвоение-1	annotator5	3		удвоение
удвоение-2	удвоение-3	annotator1	1		удвоение
удвоение-2	удвоение-3	annotator2	3		удвоение
удвоение-2	удвоение-3	annotator3	2		удвоение
удвоение-2	удвоение-3	annotator4	3		удвоение
удвоение-2	удвоение-3	annotator5	2		удвоение
удвоение-4	удвоение-5	annotator1	4		удвоение
удвоение-4	удвоение-5	annotator2	4		удвоение
удвоение-4	удвоение-5	annotator3	4		удвоение
удвоение-4	удвоение-5	annotator4	4		удвоение
удвоение-4	удвоение-5	annotator5	4		удвоение
удвоение-6	удвоение-7	annotator1	3		удвоение
удвоение-6	удвоение-7	annotator2	3		удвоение
удвоение-6	удвоение-7	annotator3	4		удвоение
удвоение-6	удвоение-7	annotator4	4		удвоение
удвоение-6	удвоение-7	annotator5	4		удвоение
удвоение-8	удвоение-9	annotator1	4		удвоение
удвоение-8	удвоение-9	annotator2	3		удвоение
удвоение-8	удвоение-9	annotator3	4		удвоение
удвоение-8	удвоение-9	annotator4	2		удвоение
удвоение-8	удвоение-9	annotator5	3		удвоение
удвоение-10	удвоение-11	annotator1	4		удвоение
удвоение-10	удвоение-11	annotator2	1		удвоение
удвоение-10	удвоение-11	annotator3	3		удвоение
удвоение-10	удвоение-11	annotator4	2		удвоение
удвоение-10	удвоение-11	annotator5	4		удвоение
удвоение-12	удвоение-13	annotator1	3		удвоение
удвоение-12	удвоение-13	annotator2	4		удвоение
удвоение-12	удвоение-13	annotator3	4		удвоение
удвоение-12	удвоение-13	annotator4	3		удвоение
удвоение-12	удвоение-13	annotator5	1		удвоение
удвоение-14	удвоение-15	annotator1	3		удвоение
удвоение-14	удвоение-15	annotator2	4		удвоение
удвоение-14	удвоение-15	annotator3	4		удвоение
удвоение-14	удвоение-15	annotator4	3		удвоение
удвоение-14	удвоение-15	annotator5	4		удвоение
удвоение-16	удвоение-17	annotator1	4		удвоение
удвоение-16	удвоение-17	annotator2	4		удвоение
удвоение-16	удвоение-17	annotator3	3		удвоение
удвоение-16	удвоение-17	annotator4	1		удвоение
удвоение-16	удвоение-17	annotator5	4		удвоение
удвоение-18	удвоение-19	annotator1	4		удвоение
удвоение-18	удвоение-19	annotator2	4		удвоение
удвоение-18	удвоение-19	annotator3	3		удвоение
удвоение-18	удвоение-19	annotator4	1		удвоение
удвоение-18	удвоение-19	annotator5	4		удвоение
удвоение-20	удвоение-21	annotator1	4		удвоение
удвоение-20	удвоение-21	annotator2	4		удвоение
удвоение-20	удвоение-21	annotator3	2		удвоение
удвоение-20	удвоение-21	annotator4	3		удвоение
удвоение-20	удвоение-21	annotator5	4		удвоение
удвоение-22	удвоение-23	annotator1	4		удвоение
удвоение-22	удвоение-23	annotator2	4		удвоение
удвоение-22	удвоение-23	annotator3	2		удвоение
удвоение-22	удвоение-23	annotator4	4		удвоение
удвоение-22	удвоение-23	annotator5	4		удвоение
удвоение-24	удвоение-25	annotator1	4		удвоение
удвоение-24	удвоение-25	annotator2	3		удвоение
удвоение-24	удвоение-25	annotator3	4		удвоение
удвоение-24	удвоение-25	annotator4	3		удвоение
удвоение-24	удвоение-25	annotator5	4		удвоение
удвоение-26	удвоение-27	annotator1	4		удвоение
удвоение-26	удвоение-27	annotator2	4		удвоение
удвоение-26	удвоение-27	annotator3	4		удвоение
удвоение-26	удвоение-27	annotator4	4		удвоение
удвоение-26	удвоение-27	annotator5	4		удвоение
удвоение-28	удвоение-29	annotator1	4		удвоение
удвоение-28	удвоение-29	annotator2	4		удвоение
удвоение-28	удвоение-29	annotator3	4		удвоение
удвоение-28	удвоение-29	annotator4	1		удвоение
удвоение-28	удвоение-29	annotator5	2		удвоение
удвоение-30	удвоение-31	annotator1	4		удвоение
удвоение-30	удвоение-31	annotator2	4		удвоение
удвоение-30	удвоение-31	annotator3	4		удвоение
удвоение-30	удвоение-31	annotator4	4		удвоение
удвоение-30	удвоение-31	annotator5	4		удвоение
удвоение-32	удвоение-33	annotator1	4		удвоение
удвоение-32	удвоение-33	annotator2	1		удвоение
удвоение-32	удвоение-33	annotator3	2		удвоение
удвоение-32	удвоение-33	annotator4	2		удвоение
удвоение-32	удвоение-33	annotator5	1		удвоение
удвоение-34	удвоение-35	annotator1	4		удвоение
