lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
удвоение	NOUN	1918-1990	1	удвоение-0		(А "техасы" -- сколько "с" Мой отпрыск злорадно сообщил, что в каком-то из последних писем я пренебрег удвоением согласных; а что удивительного На наших-то харчах.	103:112	0:163
удвоение	NOUN	1918-1990	1	удвоение-1		Это уже удвоение мира, ведь сам мексиканец впервые появился потому, что он -- элемент нашей мысли или прошлого; прошлое есть исторический элемент нашей мысли.	8:16	0:158
удвоение	NOUN	1918-1990	1	удвоение-2		-- Удвоение ВВП -- это реально -- Абсолютно реально.	3:11	0:52
удвоение	NOUN	1991-2017	2	удвоение-3		И читатель не затруднится припомнить, что мы такое же удвоение на том же, так сказать, месте рассказа нашли и в мифе об Аттисе (13).	54:62	0:132
удвоение	NOUN	1991-2017	2	удвоение-4		-- Борис Сергеевич, цели ясны -- удвоение ВВП за 10 лет.	33:41	0:56
удвоение	NOUN	1991-2017	2	удвоение-5		Этот рефрен прозвучал, впрочем, еще в Послании президента Федеральному собранию (тема полупринудительной консолидации), а затем на встрече Владимира Путина с группой Шувалова (тема собственно мобилизации -- для удвоения ВВП, борьбы с бедностью и усиления военной мощи).	211:219	0:269
удвоение	NOUN	1918-1990	1	удвоение-6		-- За счет чего, по вашему мнению, можно добиться удвоения ВВП к 2010 году -- Я думаю, ВВП может быть удвоен благодаря общей экономической политики, в том числе за счет снижения налогов, что позволит высвободить средства предприятий.	50:58	0:233
удвоение	NOUN	1991-2017	2	удвоение-7		Они показали также наличие значительных индивидуальных отличий при оценке удвоения громкостей.	74:82	0:94
удвоение	NOUN	1918-1990	1	удвоение-8		. Стереометрическое решение задачи об удвоении куба, т. е. построение куба с объемом, равным удвоенному объему данного куба.	38:46	0:124
удвоение	NOUN	1918-1990	1	удвоение-9		Уотсон и Крик предположили также, что при делении клеток удвоение числа хромосом происходит благодаря удвоению молекул ДНК.	57:65	0:123
удвоение	NOUN	1918-1990	1	удвоение-10		Удвоение озона в тропосфере может привести к увеличению средней глобальной температуры на градус Цельсия.	0:8	0:105
удвоение	NOUN	1918-1990	1	удвоение-11		Уметь, не зная многого из того, что давно известно на далекой планете, именуемой Землей, -- это ли не парадокс Созидание было для них простым удвоением.	142:151	0:152
удвоение	NOUN	1918-1990	1	удвоение-12		В данном случае удвоение образа могло означать двойство природ во Христе (так объясняли его впоследствии братья Лихуды).	16:24	0:120
удвоение	NOUN	1918-1990	1	удвоение-13		И поэтому, скажем, возможен такой оборот, как "бытие существующего", хотя, на первый взгляд, это просто тавтология, удвоение термина.	116:124	0:133
удвоение	NOUN	1918-1990	1	удвоение-14		В школе же Платона зародилось и учение о конических сечениях (по поводу знаменитой задачи об удвоении куба), которое впоследствии, также за 250 лет до н.э., было доведено Аполлонием до такой степени полноты и совершенства, что хотя вас и мучили в курсе аналитической геометрии изучением свойств этих кривых, но это составляет лишь малую долю того, что находится в сочинении Аполлония и что им самим создано.	93:101	0:407
удвоение	NOUN	1918-1990	1	удвоение-15		Однако удвоение абсурда не увеличивало его.	7:15	0:43
удвоение	NOUN	1918-1990	1	удвоение-16		Весь мир -- десятка два крупнейших биологов -- изобретал хитрейшие приемы, чтобы скрестить "Контумакс" с простой картошкой, но им пока не удавался даже предварительный шаг -- удвоение числа хромосом у этого южноамериканского дикаря.	175:183	0:232
удвоение	NOUN	1918-1990	1	удвоение-17		Дело вовсе не в точном пассивном отображении, удвоении переживания другого человека во мне (да такое удвоение и невозможно), но в переводе переживания в совершенно новую категорию оценки и оформления, в новую категорию оценки и оформления.	46:54	0:239
удвоение	NOUN	1918-1990	1	удвоение-18		Вместе с тем Рюль заявил о том, что считает нереальным удвоение объема ВВП к 2010 году, так как для этого необходимо, чтобы экономический рост в России составлял свыше 10% в год.	55:63	0:178
удвоение	NOUN	1991-2017	2	удвоение-19		Чтобы достичь качественного удвоения знаний (открыть новые законы, принципы, создать эффективные теории), необходимо количество информации, на базе которой это возможно, увеличить в 8 раз, число ученых -- в 16 раз, а ассигнование на науку -- в 32 раза.	28:36	0:252
