lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
флакон	NOUN	1918-1990	1	флакон-0		"Что я собственно делаю!" -- спохватился он, ибо сдачу, полученную только-что в табачной, первым делом теперь высыпал на резиновый островок посреди стеклянного прилавка, сквозь который снизу просвечивало подводное золото плоских флаконов, между тем как снисходительный к его причуде взгляд приказчицы с любопытством направлялся на эту рассеянную руку, платившую за предмет, еще даже не названный.	229:237	0:396
флакон	NOUN	1918-1990	1	флакон-1		Когда мы вышли компанией на набережную, Маяковский стал заходить во все магазинчики и покупать мне одеколон самый дорогой и красивый, в больших витых флаконах.	150:158	0:159
флакон	NOUN	1918-1990	1	флакон-2		-- А вокруг голубые и серебряные флаконы.	33:40	0:41
флакон	NOUN	1918-1990	1	флакон-3		Мое пальто и портфель подмышкой проплывают по тканям, флаконам духов, галантерейной мишуре, по книгам; павлиний хвост обложек, -- кричащие цвета, пестрая шотландская клетка, белизна самоуверенной скромности; тьмы и тьмы книг, каждый день десятки новых; испуганные глаза автора, пробегающие рецензию, грубый читательский палец с желтым ногтем, поспешно разрывающий необрезанные листы.	54:62	0:383
флакон	NOUN	1991-2017	2	флакон-4		-- Аркадий протянул флакон с лекарствами.	20:26	0:41
флакон	NOUN	1991-2017	2	флакон-5		Музыку пишу и репу не чешу NEXX NF-410 Все в одном флаконе Я уже слышу как ты бурчишь: "снова флэш-плеер... сколько можно!".	51:58	0:124
флакон	NOUN	1991-2017	2	флакон-6		-- Второй флакон пошёл, -- так же тихо отвечает анестезиолог.	10:16	0:61
флакон	NOUN	1991-2017	2	флакон-7		В центре размещался большой стол, покрытый клеенкой; рядом стояли кровать и тумбочка, на которой блестел ровный ряд граненых флаконов.	125:133	0:134
флакон	NOUN	1991-2017	2	флакон-8		-- Это похоже надолго... -- сказал Скобелев, развернулся и, позвякивая флаконами с раствором Дерроу, пошел к себе в отделение.	71:80	0:126
флакон	NOUN	1991-2017	2	флакон-9		Все равно теперь после службы батюшка стал тщательно драить руки каким-то импортным составом из пластикового флакона; что с крестом делал -- не удалось подсмотреть.	109:116	0:164
флакон	NOUN	1918-1990	1	флакон-10		31 декабря с сержантом из его роты, ехавшим по делу в штаб дивизии, он отправил переводчице только что врученную ему посылочку -- подарок от тружеников тыла: флакон духов, шерстяные варежки и пачку печенья.	158:164	0:206
флакон	NOUN	1918-1990	1	флакон-11		Ее рука задрожала: флакон стукнул о стол и остался стоять, -- безмолвный свидетель чувств, достойных милосердного эшафота.	19:25	0:122
флакон	NOUN	1991-2017	2	флакон-12		А удобный флакон забронирует Emotion постоянное место в вашей косметичке.	10:16	0:73
флакон	NOUN	1991-2017	2	флакон-13		Цвет флаконов из матового стекла идеально сочетался с запахами этих ароматов.	5:13	0:77
флакон	NOUN	1918-1990	1	флакон-14		Алексеева-Месхиева тщательное уложила остатки конфет и пустые флаконы.	62:69	0:70
флакон	NOUN	1918-1990	1	флакон-15		Взвинченный, веселый, изысканно вежливый, сверкающий всеми красками своего неповторимого юмора, Маяковский в парижском пуловере, с узким ремешком карманных часов на лацкане пиджака -- было сверхмодно носить часы в нагрудном карманчике пиджака, -- с наголо остриженной головой -- гигиенично, современно, конструктивно, а также потому, что: "Причесываться На время не стоит труда, а вечно причесанным быть невозможно!" -- шагая среди своего полуразобранного багажа, расшвырянного по всей комнате, то и дело наступая новыми заграничными башмаками на коробки, свертки, на раскладную гуттаперчевую ванну-таз, отбрасывая из-под ног цветные резиновые губки, нераскупоренные флаконы с аткинсоновской лавандой и зелено-полосатые жестянки с тальком для бритья "пальмолив", Маяковский в одно и то же время и усаживал сотрудника "Известий" за стол, и наливал ему "напареули", и придвигал тарелку с громадными свежими пирожными "от Бартельса", и краем рта, показывая синеватые зубы, победно улыбался, глядя на членов редакции "Лефа", собравшихся на заседание по случаю возвращения из-за границы своего главного редактора.	667:674	0:1108
флакон	NOUN	1918-1990	1	флакон-16		В 5 подопытных флаконов (один из которых служил контролем вируса) вносили ВГС (штамм С-13 в разведении 10(-4)), инкубировали 48 ч при 37C, затем обрабатывали либо кагоцелом, либо циклофероном, либо саврацем в стандартных концентрациях, оставляя 1 флакон необработанным в качестве контроля вируса.	15:23	0:296
флакон	NOUN	1991-2017	2	флакон-17		Неужели я без очков не тот флакон из холодильника вынула Надеваю очки.	27:33	0:70
флакон	NOUN	1991-2017	2	флакон-18		В дверь, которая за ним поспешно захлопывается, летит флакон дезодоранта.	54:60	0:73
флакон	NOUN	1991-2017	2	флакон-19		Действительно, ведь делается же небольшой тираж для издания -- почему бы и здесь не использовать этот принцип Элла Борисовна нашла фирму, которая согласилась поставлять упаковочные флаконы.	181:188	0:189
флакон	NOUN	1991-2017	2	флакон-20		В конце концов жена выбрала себе четыре флакона духов, но перед тем как заплатить, засомневалась: ведь едем-то мы в Париж!	40:47	0:122
флакон	NOUN	1991-2017	2	флакон-21		Пользователь получает в одном флаконе" как бы несколько биноклей с разной кратностью.	30:37	0:85
флакон	NOUN	1918-1990	1	флакон-22		В мою ладонь шлепнулся крохотный флакон в виде сердечка со звездой.	33:39	0:67
флакон	NOUN	1991-2017	2	флакон-23		"Огни Москвы" были очень популярны, но подороже, шли в синем таком флаконе.	67:74	0:75
флакон	NOUN	1918-1990	1	флакон-24		В руках он держал маленький флакон и пипетку.	28:34	0:45
флакон	NOUN	1991-2017	2	флакон-25		Малыш забрался в мою комнату, стащил со столика флакон хороших духов и разбил его.	48:54	0:82
флакон	NOUN	1991-2017	2	флакон-26		В чемодане находились кое-какие вещи -- джинсы, черная трикотажная рубашка, спортивная майка салатного цвета, электробритва, несколько конвертов, флакон с дагестанским коньяком, две конфеты в красной обертке с надписью "Ромашка".	146:152	0:229
флакон	NOUN	1991-2017	2	флакон-27		Всякого вновь появляющегося в дверях студии Вадик встречал алкогольным экспромтом-двустишием: Здравствуй, Отто Адамсон, Не принес ли ты флакон Вот блистательный Давид!	136:142	0:167
флакон	NOUN	1918-1990	1	флакон-28		Введите во флакон сперва гвоздь, который болтается на нитке, потом пробку.	11:17	0:74
флакон	NOUN	1991-2017	2	флакон-29		Один флакон поставьте на пять минут в кастрюльку с кипящей водой.	5:11	0:65
флакон	NOUN	1918-1990	1	флакон-30		Вернее, сквозь стенки флаконов.	22:30	0:31
флакон	NOUN	1991-2017	2	флакон-31		Над головой комод, уставленный давно забытыми вещичками: баночками, флаконами, пудреницами.	68:77	0:91
флакон	NOUN	1918-1990	1	флакон-32		Возьмем флакон с пахучей жидкостью, например духами, откроем пробку и понюхаем содержимое в спокойном ритме дыхания.	8:14	0:116
флакон	NOUN	1991-2017	2	флакон-33		Пока она размышляла, наступило время обеда; заперев флакон в ящик стола, Моргиана перешла в столовую, где заставила себя несколько съесть и выпить кофе, продолжая видеть флакон.	52:58	0:177
флакон	NOUN	1918-1990	1	флакон-34		Все мы много раз видели изображение куска угля, окруженного разнообразными изделиями -- вплоть до рулона шелка и флакона духов.	113:120	0:127
флакон	NOUN	1918-1990	1	флакон-35		Кончив писать, я промокнул письмо старым номером газеты "Беднота" и, прежде чем вложить исписанный листок в конверт, вынул из кармана флакон из-под одеколона "Ландыш".	134:140	0:167
флакон	NOUN	1991-2017	2	флакон-36		Глядя на флакон из неведомой Франции, Александра всегда думала о сестре Марии, туманно воображала дальние страны и представить себе не могла, что когда-то этот прямоугольный, подчеркнуто элегантный флакон обернется против нее неопровержимой уликой -- вещественным доказательством.	9:15	0:280
флакон	NOUN	1991-2017	2	флакон-37		Чтобы мама не уехала, а у бабушки появилось три, нет, пять флаконов с валокордином, который был страшным дефицитом.	59:67	0:115
флакон	NOUN	1918-1990	1	флакон-38		Завадский бросился на кухню, где в предыдущий раз все обшарил, в аптечке нашел флакон валерианы, накапал побольше, из чайника плеснул воды и дал Зинаиде Ивановне выпить.	79:85	0:169
флакон	NOUN	1991-2017	2	флакон-39		И когда господин повернулся лицом к зеркалам, сиявшим над мраморными подставками, на которых золотом и зеленью отливали флаконы, Иванов мгновенно узнал это подвижное, пухлявое лицо, с пронзительными глазками и толстым родимым прыщом у правого крыла носа.	120:127	0:254
флакон	NOUN	1918-1990	1	флакон-40		Закуривая, он уронил спичечный коробок и, нагибаясь за ним, заметил на полу флакон от Аниных духов.	76:82	0:99
флакон	NOUN	1918-1990	1	флакон-41		Демьян Лукич завладел флаконом, понюхал его, повертел в руках и строго молвил: -- Ты, милая, врешь.	22:30	0:99
флакон	NOUN	1918-1990	1	флакон-42		Записка неистово пахла ландышами, не иначе Крис опрокинула на нее весь флакон.	71:77	0:78
