identifier1	identifier2	annotator	judgment	comment	lemma
четырехлетка-0	четырехлетка-1	annotator1	2		четырехлетка
четырехлетка-0	четырехлетка-1	annotator2	1		четырехлетка
четырехлетка-0	четырехлетка-1	annotator3	1		четырехлетка
четырехлетка-0	четырехлетка-1	annotator4	1		четырехлетка
четырехлетка-0	четырехлетка-1	annotator5	1		четырехлетка
четырехлетка-2	четырехлетка-3	annotator1	1		четырехлетка
четырехлетка-2	четырехлетка-3	annotator2	1		четырехлетка
четырехлетка-2	четырехлетка-3	annotator3	1		четырехлетка
четырехлетка-2	четырехлетка-3	annotator4	1		четырехлетка
четырехлетка-2	четырехлетка-3	annotator5	1		четырехлетка
четырехлетка-4	четырехлетка-5	annotator1	1		четырехлетка
четырехлетка-4	четырехлетка-5	annotator2	1		четырехлетка
четырехлетка-4	четырехлетка-5	annotator3	1		четырехлетка
четырехлетка-4	четырехлетка-5	annotator4	1		четырехлетка
четырехлетка-4	четырехлетка-5	annotator5	1		четырехлетка
четырехлетка-6	четырехлетка-7	annotator1	1		четырехлетка
четырехлетка-6	четырехлетка-7	annotator2	3		четырехлетка
четырехлетка-6	четырехлетка-7	annotator3	3		четырехлетка
четырехлетка-6	четырехлетка-7	annotator4	4		четырехлетка
четырехлетка-6	четырехлетка-7	annotator5	4		четырехлетка
четырехлетка-8	четырехлетка-9	annotator1	4		четырехлетка
четырехлетка-8	четырехлетка-9	annotator2	1		четырехлетка
четырехлетка-8	четырехлетка-9	annotator3	4		четырехлетка
четырехлетка-8	четырехлетка-9	annotator4	1		четырехлетка
четырехлетка-8	четырехлетка-9	annotator5	1		четырехлетка
четырехлетка-10	четырехлетка-11	annotator1	1		четырехлетка
четырехлетка-10	четырехлетка-11	annotator2	2		четырехлетка
четырехлетка-10	четырехлетка-11	annotator3	4		четырехлетка
четырехлетка-10	четырехлетка-11	annotator4	4		четырехлетка
четырехлетка-10	четырехлетка-11	annotator5	4		четырехлетка
четырехлетка-12	четырехлетка-13	annotator1	2		четырехлетка
четырехлетка-12	четырехлетка-13	annotator2	4		четырехлетка
четырехлетка-12	четырехлетка-13	annotator3	1		четырехлетка
четырехлетка-12	четырехлетка-13	annotator4	1		четырехлетка
четырехлетка-12	четырехлетка-13	annotator5	4		четырехлетка
четырехлетка-14	четырехлетка-15	annotator1	4		четырехлетка
четырехлетка-14	четырехлетка-15	annotator2	3		четырехлетка
четырехлетка-14	четырехлетка-15	annotator3	4		четырехлетка
четырехлетка-14	четырехлетка-15	annotator4	1		четырехлетка
четырехлетка-14	четырехлетка-15	annotator5	4		четырехлетка
четырехлетка-16	четырехлетка-17	annotator1	4		четырехлетка
четырехлетка-16	четырехлетка-17	annotator2	3		четырехлетка
четырехлетка-16	четырехлетка-17	annotator3	4		четырехлетка
четырехлетка-16	четырехлетка-17	annotator4	4		четырехлетка
четырехлетка-16	четырехлетка-17	annotator5	4		четырехлетка
