lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
четырехлетка	NOUN	1918-1990	1	четырехлетка-0		Четырехлетка вполне способна понять, что в садике -- одни правила, дома -- другие, с бабушкой -- третьи, с другой бабушкой четвертые.	0:12	0:133
четырехлетка	NOUN	1991-2017	2	четырехлетка-1		Это и была школа-четырехлетка.	-1:16	0:30
четырехлетка	NOUN	1918-1990	1	четырехлетка-2		Четырехлетки занимаются вместе с первоклассниками!" -- недоумевали многие, опасаясь, видимо, за хрупкую психику малышей.	0:12	0:120
четырехлетка	NOUN	1991-2017	2	четырехлетка-3		В системе РФСР школы охватывают подростков с 14-15 летнего возраста, по объему общеобразовательных знаний строятся на четырехлетке, имеют 3-хлетний курс обучения и в них бронируются общеобразовательные знания в объеме 1-го концентра школы II ступени.	118:130	0:250
четырехлетка	NOUN	1918-1990	1	четырехлетка-4		Четырехлетки иногда вкладывают в понятия пола и рождения магический смысл.	0:12	0:74
четырехлетка	NOUN	1991-2017	2	четырехлетка-5		С другой стороны, необходимость стать мне естественником подбрасывает проблему естествознания; я понимаю: она -- не шутка; знакомство с фактами отнимет часть художественных работ; без интереса к естествознанию -- не проведу я четырехлетки.	226:238	0:239
четырехлетка	NOUN	1991-2017	2	четырехлетка-6		В состязаниях на Приз реки Оки для рысистых кобыл-трехлеток и Приз "Морского прибоя" для орловцев-четырехлеток.	-1:19	0:111
четырехлетка	NOUN	1991-2017	2	четырехлетка-7		Налетел социальный ураган, разнес по свету всех -- и старших, и маленького, четырехлетку.	76:88	0:89
четырехлетка	NOUN	1991-2017	2	четырехлетка-8		Добившись того, что дети оказываются способными свободно вычленять и оперировать топологическими понятиями и отношениями, в средней группе дошкольного учреждения следует приступать к формированию у четырехлеток проективной подструктуры, Далее, в пятилетнем возрасте (в старшей группе) дети должны овладеть первыми порядковыми отношениями и их инвариантами.	198:210	0:356
четырехлетка	NOUN	1991-2017	2	четырехлетка-9		В Инчоуне -- четырехлетка, и в пятый класс детей уже надо переводить в Уэлен, где есть средняя школа.	13:25	0:101
четырехлетка	NOUN	1918-1990	1	четырехлетка-10		Крестьяне всюду требуют школы повышенного типа; их уже не удовлетворяет четырехлетка, они требуют семилетки; крестьяне требуют, чтобы деревне давался грамотный и культурный молодняк, и мы идем навстречу этому требованию.	72:84	0:220
четырехлетка	NOUN	1918-1990	1	четырехлетка-11		Основной фундамент, в смысле общеобразовательном и воспитательном, в смысле выработки характера и мировоззрения, в современных условиях вынуждена закладывать четырехлетка, подобно тому, как на долю дошкольного воспитания приходится преимущественно закладка фундамента физического и эмоционального развития ребенка.	158:170	0:314
четырехлетка	NOUN	1918-1990	1	четырехлетка-12		Мы имеем в деревне четырехлетку (к сожалению, не везде).	19:31	0:56
четырехлетка	NOUN	1918-1990	1	четырехлетка-13		Организационно профшколы является первой ступенью системы профтехнического образования, но в отношении общего образования они должны равняться по 1-му концентру II ступени, то есть строиться на четырехлетке и по этой линии равняться со всей системой.	194:206	0:250
четырехлетка	NOUN	1991-2017	2	четырехлетка-14		Непарнокопытные аутсайдеры Десять лучших рысаков-четырехлеток из числа не попавших во время отборочных скачек на "Дерби" будут соревноваться за обладание призом поскромней -- "Гильдейца".	-1:18	0:187
четырехлетка	NOUN	1991-2017	2	четырехлетка-15		А Вы где живете, что "На красный свет нельзя -- это повсеместное правило" или как передвигаетесь У нас в Питере до садика 2 перекрестка и 75% взрослых на глазах моей четырехлетки ломятся на красный.	166:178	0:198
четырехлетка	NOUN	1918-1990	1	четырехлетка-16		Школа фабзавуча и в той и в другой системе мыслится, как профшкола для учащихся, работающих в производстве, она должна была бы строиться над семью годами общеобразовательной школы, но в данное время вынуждена базироваться на четырехлетке.	225:237	0:238
четырехлетка	NOUN	1918-1990	1	четырехлетка-17		б) В центральной России школа I ступени откристаллизовалась, как школа четырехлетка, охватывающая детей обоего пола в возрасте от 8 до 12 лет.	71:83	0:142
