identifier1	identifier2	annotator	judgment	comment	lemma
эрмитажный-0	эрмитажный-1	annotator1	4		эрмитажный
эрмитажный-0	эрмитажный-1	annotator2	4		эрмитажный
эрмитажный-0	эрмитажный-1	annotator3	4		эрмитажный
эрмитажный-0	эрмитажный-1	annotator4	3		эрмитажный
эрмитажный-0	эрмитажный-1	annotator5	4		эрмитажный
эрмитажный-2	эрмитажный-3	annotator1	4		эрмитажный
эрмитажный-2	эрмитажный-3	annotator2	1		эрмитажный
эрмитажный-2	эрмитажный-3	annotator3	3		эрмитажный
эрмитажный-2	эрмитажный-3	annotator4	4		эрмитажный
эрмитажный-2	эрмитажный-3	annotator5	4		эрмитажный
эрмитажный-4	эрмитажный-5	annotator1	2		эрмитажный
эрмитажный-4	эрмитажный-5	annotator2	4		эрмитажный
эрмитажный-4	эрмитажный-5	annotator3	4		эрмитажный
эрмитажный-4	эрмитажный-5	annotator4	4		эрмитажный
эрмитажный-4	эрмитажный-5	annotator5	4		эрмитажный
эрмитажный-6	эрмитажный-7	annotator1	4		эрмитажный
эрмитажный-6	эрмитажный-7	annotator2	4		эрмитажный
эрмитажный-6	эрмитажный-7	annotator3	3		эрмитажный
эрмитажный-6	эрмитажный-7	annotator4	4		эрмитажный
эрмитажный-6	эрмитажный-7	annotator5	4		эрмитажный
эрмитажный-8	эрмитажный-9	annotator1	3		эрмитажный
эрмитажный-8	эрмитажный-9	annotator2	4		эрмитажный
эрмитажный-8	эрмитажный-9	annotator3	3		эрмитажный
эрмитажный-8	эрмитажный-9	annotator4	4		эрмитажный
эрмитажный-8	эрмитажный-9	annotator5	4		эрмитажный
эрмитажный-10	эрмитажный-11	annotator1	3		эрмитажный
эрмитажный-10	эрмитажный-11	annotator2	3		эрмитажный
эрмитажный-10	эрмитажный-11	annotator3	3		эрмитажный
эрмитажный-10	эрмитажный-11	annotator4	4		эрмитажный
эрмитажный-10	эрмитажный-11	annotator5	3		эрмитажный
эрмитажный-12	эрмитажный-13	annotator1	4		эрмитажный
эрмитажный-12	эрмитажный-13	annotator2	3		эрмитажный
эрмитажный-12	эрмитажный-13	annotator3	4		эрмитажный
эрмитажный-12	эрмитажный-13	annotator4	1		эрмитажный
эрмитажный-12	эрмитажный-13	annotator5	3		эрмитажный
эрмитажный-14	эрмитажный-15	annotator1	2		эрмитажный
эрмитажный-14	эрмитажный-15	annotator2	1		эрмитажный
эрмитажный-14	эрмитажный-15	annotator3	4		эрмитажный
эрмитажный-14	эрмитажный-15	annotator4	1		эрмитажный
эрмитажный-14	эрмитажный-15	annotator5	3		эрмитажный
эрмитажный-16	эрмитажный-17	annotator1	2		эрмитажный
эрмитажный-16	эрмитажный-17	annotator2	1		эрмитажный
эрмитажный-16	эрмитажный-17	annotator3	4		эрмитажный
эрмитажный-16	эрмитажный-17	annotator4	4		эрмитажный
эрмитажный-16	эрмитажный-17	annotator5	1		эрмитажный
эрмитажный-18	эрмитажный-19	annotator1	3		эрмитажный
эрмитажный-18	эрмитажный-19	annotator2	4		эрмитажный
эрмитажный-18	эрмитажный-19	annotator3	2		эрмитажный
эрмитажный-18	эрмитажный-19	annotator4	1		эрмитажный
эрмитажный-18	эрмитажный-19	annotator5	2		эрмитажный
эрмитажный-20	эрмитажный-21	annotator1	3		эрмитажный
эрмитажный-20	эрмитажный-21	annotator2	1		эрмитажный
эрмитажный-20	эрмитажный-21	annotator3	1		эрмитажный
эрмитажный-20	эрмитажный-21	annotator4	4		эрмитажный
эрмитажный-20	эрмитажный-21	annotator5	2		эрмитажный
эрмитажный-22	эрмитажный-23	annotator1	2		эрмитажный
эрмитажный-22	эрмитажный-23	annotator2	2		эрмитажный
эрмитажный-22	эрмитажный-23	annotator3	4		эрмитажный
эрмитажный-22	эрмитажный-23	annotator4	3		эрмитажный
эрмитажный-22	эрмитажный-23	annotator5	4		эрмитажный
эрмитажный-24	эрмитажный-25	annotator1	1		эрмитажный
эрмитажный-24	эрмитажный-25	annotator2	3		эрмитажный
