lemma	grouping	nodes	nodes1	nodes2	EARLIER	LATER	COMPARE
ателье	1_2	120	60	60	3.5	3.25	3.3
бескомпромиссность	1_2	60	30	30	4.0	4.0	4.0
беспредел	1_2	24	12	12	3.5	3.5	3.75
благотворительность	1_2	120	60	60	3.65	3.95	3.9
блочный	1_2	120	60	60	2.55	2.45	1.95
боевик	1_2	120	60	60	3.35	2.95	2.25
ботаник	1_2	120	60	60	3.3	2.1	2.475
брезентовый	1_2	120	60	60	4.0	3.9	3.95
валюта	1_2	120	60	60	3.7	3.75	3.65
валютный	1_2	120	60	60	3.4	3.75	3.6
вампир	1_2	120	60	60	3.25	3.475	3.275
взлом	1_2	120	60	60	3.55	3.2	3.5
вирус	1_2	120	60	60	3.825	3.9	3.975
выплеск	1_2	30	15	15	2.8	3.8	3.4
высоколобый	1_2	96	48	48	2.25	2.5	2.125
вышка	1_2	120	60	60	2.575	2.5	3.225
гермафродит	1_2	24	12	12	4.0	3.0	3.5
гильдия	1_2	120	60	60	3.4	3.3	3.35
гимназия	1_2	120	60	60	3.95	3.9	3.95
глянец	1_2	120	60	60	2.9	2.0	2.075
гололед	1_2	120	60	60	3.95	4.0	4.0
голубой	1_2	120	60	60	3.3	3.35	3.3
двушка	1_2	120	60	60	2.8	2.5	1.375
дивизион	1_2	120	60	60	3.9	3.05	3.65
донорство	1_2	60	30	30	3.75	3.6	2.9
драйвер	1_2	42	21	21	2.857142857142857	2.7142857142857144	1.1428571428571428
завязка	1_2	120	60	60	2.2	1.75	1.9
загрузка	1_2	120	60	60	2.35	2.0	1.85
знамя	1_2	120	60	60	3.1	2.7	3.05
игра	1_2	120	60	60	2.3	1.85	2.05
инкубатор	1_2	120	60	60	3.6	2.5	2.05
исполнитель	1_2	120	60	60	2.7	2.45	2.55
карта	1_2	120	60	60	2.15	1.45	1.7
классный	1_2	120	60	60	2.55	2.2	1.3
корпус	1_2	120	60	60	2.35	1.9	1.75
лилипут	1_2	120	60	60	3.175	3.4	3.45
ломберный	1_2	96	48	48	4.0	3.625	3.6875
мгновение	1_2	120	60	60	3.85	3.75	3.7
модель	1_2	120	60	60	2.35	1.75	2.575
мыло	1_2	120	60	60	3.55	3.0	3.25
одежда	1_2	120	60	60	4.0	4.0	3.95
однодневка	1_2	60	30	30	2.75	3.4	2.4
орбита	1_2	120	60	60	2.15	3.15	2.45
осуществимый	1_2	120	60	60	4.0	3.9	4.0
пакет	1_2	120	60	60	2.75	2.1	1.5
партиец	1_2	120	60	60	3.95	3.95	3.9
перестройка	1_2	120	60	60	2.3	3.1	2.25
погрешность	1_2	120	60	60	2.9	3.6	3.25
подстава	1_2	18	9	9	3.6666666666666665	3.0	1.0
предощущение	1_2	42	21	21	3.857142857142857	4.0	4.0
приношение	1_2	120	60	60	3.5	2.9	3.0
прислуга	1_2	120	60	60	3.625	3.95	3.75
приставка	1_2	120	60	60	1.9	2.6	2.1
провальный	1_2	66	33	33	1.7272727272727273	3.8181818181818183	1.9090909090909092
продукция	1_2	120	60	60	3.7	3.5	3.7
раскрутка	1_2	36	18	18	2.8333333333333335	3.1666666666666665	2.1666666666666665
рождество	1_2	120	60	60	3.7	2.75	3.125
рынок	1_2	120	60	60	2.6	3.15	1.65
рыночный	1_2	120	60	60	2.4	3.55	2.3
свинцовый	1_2	120	60	60	2.0	1.8	1.9
собака	1_2	120	60	60	3.325	3.85	3.65
сомнение	1_2	120	60	60	3.95	3.95	3.9
стаканчик	1_2	120	60	60	3.7	3.75	3.35
стачка	1_2	120	60	60	3.65	2.85	2.85
стиль	1_2	120	60	60	2.85	2.2	2.85
удвоение	1_2	120	60	60	2.95	3.85	3.25
флакон	1_2	120	60	60	3.7	3.2	3.675
четырехлетка	1_2	18	9	9	3.3333333333333335	2.6666666666666665	1.0
эрмитажный	1_2	114	57	57	2.973684210526316	3.026315789473684	2.8947368421052633
