word	COMPARE	EARLIER	LATER	delta_later	frequency_earlier	frequency_later	delta_frequency
ателье	3.29	3.3	3.19	-0.11	288	326	38
бескомпромиссность	3.84	3.76	3.84	0.08	32	40	8
беспредел	3.55	3.1	3.25	0.15	13	505	492
благотворительность	3.58	3.46	3.69	0.23	182	396	214
блочный	2.15	2.57	2.63	0.06	67	157	90
боевик	2.25	3.28	2.82	-0.46	231	2918	2687
ботаник	2.52	3.2	2.16	-1.04	410	219	-191
брезентовый	3.75	3.8	3.76	-0.04	674	343	-331
валюта	3.42	3.57	3.47	-0.1	839	2963	2124
валютный	3.43	3.15	3.45	0.3	218	2351	2133
вампир	2.93	2.95	3.22	0.27	85	803	718
взлом	3.26	3.4	3.03	-0.37	99	99	0
вирус	3.83	3.65	3.7	0.05	587	9259	8672
выплеск	3.16	2.76	3.68	0.92	15	40	25
высоколобый	2.19	2.14	2.62	0.48	48	103	55
вышка	2.99	2.48	2.5	0.02	1031	729	-302
гермафродит	3.05	3.45	3	-0.45	12	39	27
гильдия	3.17	3.36	3.27	-0.09	124	225	101
гимназия	3.79	3.71	3.77	0.06	4006	1428	-2578
глянец	2.12	2.86	2.21	-0.65	169	153	-16
гололед	3.84	3.8	3.87	0.07	63	111	48
голубой	3.25	3.11	3.08	-0.03	9546	4910	-4636
двушка	1.38	2.65	2.56	-0.09	68	94	26
дивизион	3.58	3.79	3.01	-0.78	1399	771	-628
донорство	2.72	3.62	3.34	-0.28	36	30	-6
драйвер	1.29	3	2.8	-0.2	23	90	67
завязка	1.86	2.07	1.77	-0.3	310	350	40
загрузка	2.09	2.54	2.19	-0.35	185	659	474
знамя	3.11	2.97	2.66	-0.31	3617	1420	-2197
игра	2.28	2.39	2.11	-0.28	11824	14900	3076
инкубатор	2.19	3.54	2.49	-1.05	203	81	-122
исполнитель	2.6	2.74	2.54	-0.2	1854	3376	1522
карта	1.85	2.28	1.58	-0.7	9001	8502	-499
классный	1.43	2.44	2.17	-0.27	1151	1353	202
корпус	1.77	2.26	1.95	-0.31	9699	5122	-4577
лилипут	3.2	2.98	3.13	0.15	160	161	1
ломберный	3.72	3.94	3.55	-0.39	102	50	-52
мгновение	3.56	3.59	3.51	-0.08	6630	4429	-2201
модель	2.49	2.21	1.97	-0.24	3357	13387	10030
мыло	3.21	3.43	3.07	-0.36	1109	817	-292
одежда	3.69	3.84	3.77	-0.07	7624	8085	461
однодневка	2.56	2.76	3.22	0.46	32	80	48
орбита	2.53	2.26	3.07	0.81	1141	1303	162
осуществимый	3.8	3.73	3.65	-0.08	165	69	-96
пакет	1.65	2.78	2.23	-0.55	2412	5961	3549
партиец	3.83	3.85	3.81	-0.04	373	220	-153
перестройка	2.14	2.43	3.1	0.67	1300	2734	1434
погрешность	3	2.84	3.44	0.6	179	412	233
подстава	1	3.3	2.8	-0.5	11	97	86
предощущение	3.89	3.71	3.69	-0.02	21	57	36
приношение	2.91	3.22	2.84	-0.38	164	73	-91
прислуга	3.61	3.44	3.67	0.23	1560	465	-1095
приставка	2.13	1.97	2.45	0.48	171	311	140
провальный	1.96	1.87	3.65	1.78	33	155	122
продукция	3.5	3.43	3.36	-0.07	2187	11375	9188
раскрутка	2.13	2.83	3.3	0.47	20	253	233
рождество	3.15	3.6	2.69	-0.91	384	119	-265
рынок	1.82	2.59	3.1	0.51	3188	27718	24530
рыночный	2.36	2.33	3.37	1.04	283	4317	4034
свинцовый	1.99	2.17	1.93	-0.24	1068	475	-593
собака	3.55	3.45	3.64	0.19	15309	9533	-5776
сомнение	3.63	3.75	3.71	-0.04	7916	7113	-803
стаканчик	3.33	3.41	3.61	0.2	833	619	-214
стачка	2.84	3.45	2.97	-0.48	436	77	-359
стиль	2.74	2.83	2.43	-0.4	5695	7550	1855
удвоение	2.98	2.87	3.7	0.83	86	368	282
флакон	3.48	3.72	3.11	-0.61	404	553	149
четырехлетка	1.07	3.07	2.8	-0.27	48	11	-37
эрмитажный	2.92	2.91	2.89	-0.02	83	58	-25
